template,pages,msgs,motivo,approved,gray,rejected,error,invalid
Lyzmo - GB-CC-EN/EN-SR - g006-d Nicolas,2,30,gray=30,0,30,0,0,0
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,56,30,gray=30,0,30,0,0,0
Lyzmo Finanzas - US-CC-ES/ES-ZW-SR - g006-d Nicolas,9,30,gray=30,0,30,0,0,0
Marevelx - DE-CC-DE/DE-SR - g001-d Icaro,6,10,gray=10,0,10,0,0,0
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,0,30,gray=30,0,30,0,0,0
Marevelx - US-CC-ES/ES-ZW-SR - g001-d Icaro,0,30,gray=30,0,30,0,0,0
Newsoun - DE-CC-DE/DE-SR - g005-d Kelly,19,10,gray=10,0,10,0,0,0
Newsoun - GB-CC-EN/EN-SR - g005-d Kelly,1,30,gray=30,0,30,0,0,0
Newsoun - US-CC-EN/EN-SR - g005-d Kelly,41,30,gray=30,0,30,0,0,0
Newsoun - US-CC-ES/ES-ZW-SR - g005-d Kelly,3,30,gray=30,0,30,0,0,0
Openzed - ES-CC-ES/ES-ZW - AV - g003-d Isliago,13,30,gray=30,0,30,0,0,0
Openzed - GB-CC-EN/EN - AV - g003-d Isliago,6,30,gray=30,0,30,0,0,0
Openzed - US-CC-EN/EN - AV - g001-d Icaro,8,30,gray=30,0,30,0,0,0
Openzed - US-CC-EN/EN - AV - g003-d Isliago,179,30,bad=8 ERROR=8 | gray=16 | approved=6,6,16,0,8,0
Openzed - US-CC-ES/ES-ZW - AV - g001-d Icaro,0,30,gray=30,0,30,0,0,0
Openzed - US-CC-ES/ES-ZW - AV - g003-d Isliago,88,30,bad=1 REJECTED=1 | gray=29,0,29,1,0,0
Portal - US-CC-EN/EN - AV - g001-d Icaro,0,10,gray=10,0,10,0,0,0
Portal - US-CC-ES/ES-ZW - AV - g001-d Icaro,0,30,gray=30,0,30,0,0,0
Spe - US-JOB-EN/EN - AV - g006-d Nicolas,0,10,gray=10,0,10,0,0,0
Spe - US-JOB-ES/ES-ZW - AV - g006-d Nicolas,4,10,bad=10 ERROR=10,0,0,0,10,0
Vizioid - MX-CC-ES/ES-ZW-SR - g002-d Gustavo,0,10,gray=10,0,10,0,0,0
Vizioid - US-CC-EN/EN-SR - g002-d Gustavo,0,30,gray=30,0,30,0,0,0
Vizioid - US-CC-ES/ES-ZW-SR - g002-d Gustavo,0,30,gray=30,0,30,0,0,0
Wantabrand - ES-CC-ES/ES-ZW - M2 - g001-d Icaro,0,30,gray=30,0,30,0,0,0
Wantabrand - GB-CC-EN/EN - M2 - g001-d Icaro,0,30,gray=30,0,30,0,0,0
Wantabrand - US-CC-ES/ES-ZW - M2 - g001-d Icaro,0,30,gray=30,0,30,0,0,0
Wavesbee - US-CC-EN/EN - YM - g003-d Isliago,0,30,gray=30,0,30,0,0,0
Wavesbee - US-CC-ES/ES-ZW - YM - g003-d Isliago,0,30,gray=30,0,30,0,0,0
Xyvlov - DE-CC-DE/DE-SR - g003-d Isliago,42,10,bad=1 REJECTED=1 | gray=5 | approved=4,4,5,1,0,0
Xyvlov - US-CC-EN/EN-SR - g003-d Isliago,0,30,gray=30,0,30,0,0,0
Xyvlov - US-CC-ES/ES-ZW-SR - g003-d Isliago,1,30,gray=30,0,30,0,0,0
Zuout - GB-CC-EN/EN - AV - g002-d Gustavo,0,30,gray=30,0,30,0,0,0
Zuout - US-CC-EN/EN - AV - g002-d Gustavo,8,30,gray=30,0,30,0,0,0
Zuout - US-CC-ES/ES-ZW - AV - g002-d Gustavo,32,30,gray=30,0,30,0,0,0
Zytiva - GB-CC-EN/EN-SR - g003-d Isliago,9,30,gray=30,0,30,0,0,0
Zytiva - US-CC-EN/EN-SR - g003-d Isliago,65,30,gray=30,0,30,0,0,0
ZytivaFinanzas - ES-CC-ES/ES-ZW-SR - g003-d Isliago,0,30,gray=30,0,30,0,0,0
ZytivaFinanzas - US-CC-ES/ES-ZW-SR - g003-d Isliago,21,30,gray=30,0,30,0,0,0
