source_drive_id,source_relative_path,current_filename,reason
1Foyq97vN6m6V_q6BWGQVULvKo6-1BrNo,UPLOAD_CANVAS/cartao de credito/videos/stories/01 - IA - Story Ingles GB.mp4,01 - IA - Story Ingles GB.mp4,VISUAL_REVIEW_REMAINING
14cdGSBH2CgURh-fZwOslEdRJAAIzDeIL,UPLOAD_CANVAS/cartao de credito/videos/stories/01 Trabalho - Story (ingles)__DAGfBKPJSC8.mp4,01 Trabalho - Story (ingles)__DAGfBKPJSC8.mp4,VISUAL_REVIEW_REMAINING
1J8vG19muUDcJzEnrS-SVdhmx_PmwmNOM,UPLOAD_CANVAS/cartao de credito/videos/stories/02 - IA - Story Ingles GB.mp4,02 - IA - Story Ingles GB.mp4,VISUAL_REVIEW_REMAINING
1x5u-aYzJJfTI2RIwpuNvgh8UCJSN7j3F,UPLOAD_CANVAS/cartao de credito/videos/stories/03 - IA - Story Ingles GB.mp4,03 - IA - Story Ingles GB.mp4,VISUAL_REVIEW_REMAINING
1J6CJX3w4zEc4jbaHl7iixQBzDe5ju9t6,UPLOAD_CANVAS/cartao de credito/videos/stories/04 - IA - Story Ingles GB.mp4,04 - IA - Story Ingles GB.mp4,VISUAL_REVIEW_REMAINING
1dhwEQ2IwXMmgxfldT3XsN2pBD70PH99L,UPLOAD_CANVAS/cartao de credito/videos/stories/09 - IA - Story Mexico__DAHFbtG9ADQ.mp4,09 - IA - Story Mexico__DAHFbtG9ADQ.mp4,VISUAL_REVIEW_REMAINING
1wPVXa3NmhUAETibrDZJofNw9ryw2ZOo-,UPLOAD_CANVAS/cartao de credito/videos/stories/13 - IA - Story GB ingles__DAHGC5ahHks.mp4,13 - IA - Story GB ingles__DAHGC5ahHks.mp4,VISUAL_REVIEW_REMAINING
13yY_KgI7fXXzF_2Tx7bNI9foq5eP9jMU,UPLOAD_CANVAS/cartao de credito/videos/stories/14 - IA - Story GB ingles__DAHGC9hLIVY.mp4,14 - IA - Story GB ingles__DAHGC9hLIVY.mp4,VISUAL_REVIEW_REMAINING
1w3lNsUP81CmVENrgmADP4fNYHT8laGpt,UPLOAD_CANVAS/cartao de credito/videos/stories/15 - IA - Story Mexico__DAHFcoYzl48.mp4,15 - IA - Story Mexico__DAHFcoYzl48.mp4,VISUAL_REVIEW_REMAINING
1PFohHRc6uxkcsiniTc4Y0gZbuGSM_k26,UPLOAD_CANVAS/cartao de credito/videos/stories/17 - IA - Story GB ingles__DAHGFgwdgbs.mp4,17 - IA - Story GB ingles__DAHGFgwdgbs.mp4,VISUAL_REVIEW_REMAINING
1zUJZxzOcgAdF3j3DqXNgZ8_DpxNEqW4a,UPLOAD_CANVAS/cartao de credito/videos/stories/18 - Story ingles__DAHCMud9RN8.mp4,18 - Story ingles__DAHCMud9RN8.mp4,VISUAL_REVIEW_REMAINING
1Vl5pWx31Y1tH_ZQnaryWMlummajmmbWc,UPLOAD_CANVAS/cartao de credito/videos/stories/40 - IA - Story Mexico__DAHGGRXYFdY.mp4,40 - IA - Story Mexico__DAHGGRXYFdY.mp4,VISUAL_REVIEW_REMAINING
11KcqGaC1UyFeQcca3GOxf22-ErLEiQSi,UPLOAD_CANVAS/cartao de credito/videos/stories/42 - IA - Story Espanhol__DAHIQeHhzZ8.mp4,42 - IA - Story Espanhol__DAHIQeHhzZ8.mp4,VISUAL_REVIEW_REMAINING
1Fae6k2NrPQOMuNVQuxzdjj1LRNu_XIqg,UPLOAD_CANVAS/cartao de credito/videos/stories/43 - IA - Story Espanhol__DAHIQRJvodY.mp4,43 - IA - Story Espanhol__DAHIQRJvodY.mp4,VISUAL_REVIEW_REMAINING
1TlSlHxBcqBx28sGhPkyw-b07J6v9GS1O,UPLOAD_CANVAS/cartao de credito/videos/stories/44 - IA - Story Espanhol__DAHIXBLEnN0.mp4,44 - IA - Story Espanhol__DAHIXBLEnN0.mp4,VISUAL_REVIEW_REMAINING
1fSx1fL_4g2k8cQfWl4NuwlBxlOMNuUfi,UPLOAD_CANVAS/cartao de credito/videos/stories/45 - IA - Story Espanhol__DAHIXI_HCKY.mp4,45 - IA - Story Espanhol__DAHIXI_HCKY.mp4,VISUAL_REVIEW_REMAINING
1xiaKEl3PkLLEzIHK4ss7phNFNBToBnZ0,UPLOAD_CANVAS/cartao de credito/videos/stories/80 - IA - Story Ingles__DAHEymEDHus.mp4,80 - IA - Story Ingles__DAHEymEDHus.mp4,VISUAL_REVIEW_REMAINING
14JcD8slyA-SkWtf5wycQ5bKIMGERK8Jq,UPLOAD_CANVAS/cartao de credito/videos/stories/82 - IA - Story Ingles__DAHEy46gSsk.mp4,82 - IA - Story Ingles__DAHEy46gSsk.mp4,VISUAL_REVIEW_REMAINING
1ZvTSVraqnFtNz4dKCNAYeykESxezJ-HB,UPLOAD_CANVAS/cartao de credito/videos/stories/101 - Story espanhol__DAHAgX6DO30.mp4,101 - Story espanhol__DAHAgX6DO30.mp4,VISUAL_REVIEW_REMAINING
17y0yH1c3gielpMixBRSuxyaIB2CtYxV7,UPLOAD_CANVAS/cartao de credito/videos/stories/Copia de 101 - Story espanhol__DAHAglCgVNA.mp4,Copia de 101 - Story espanhol__DAHAglCgVNA.mp4,VISUAL_REVIEW_REMAINING
1EuWnEgAbZxDONfqvqvMrHUP90z8apsOr,UPLOAD_CANVAS/cartao de credito/videos/unknown/43 - IA - Story KELLY Mexico__DAHGGZEoXvs.mp4,43 - IA - Story KELLY Mexico__DAHGGZEoXvs.mp4,VISUAL_REVIEW_REMAINING
