index,vertical,person,orientation,language,angle,confidence,notes
127,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.92,tarjeta aprobada aplica ya
128,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.92,tarjeta aprobada aplica ya
129,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.92,tarjeta aprobada aplica ya
130,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.86,approved with several limit amounts
131,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.90,available limit prominently shown
132,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.92,tarjeta aprobada no annual fee
133,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.86,approved with selectable limit amounts
134,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.88,credit card approved for you
135,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.91,new limit prominently shown
136,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.87,credit card approved for you with limit
137,CC,PERSON,HORIZONTAL,EN,APROBACION,0.90,santa character with credit card approved
138,CC,PERSON,HORIZONTAL,EN,APROBACION,0.90,santa character with credit card approved
139,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.86,christmas offer credit card approved
140,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.90,new limit prominently shown
141,CC,NO_PERSON,HORIZONTAL,EN,LIMITE_ALTO,0.90,new limit prominently shown
142,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.88,approved headline with apply now
143,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.88,approved headline with available limit bar
144,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.88,approved headline with available limit bar
145,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.91,credit card approved apply now
146,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.91,credit card approved apply now
147,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.91,credit card approved apply now
148,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.91,hola tarjeta de credito aprobada aplica ya
149,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.91,hola tarjeta de credito aprobada aplica ya
150,CC,NO_PERSON,HORIZONTAL,ES,LIMITE_ALTO,0.90,limites disponibles amount and approval percentage shown
151,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.90,texto aprova com mal credito e 94 approval
152,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.90,texto aprova com mal credito e 94 approval
153,CC,PERSON,HORIZONTAL,EN,RECOMPENSAS,0.88,mao segurando cartao e bonus offer worth 447
154,CC,PERSON,HORIZONTAL,EN,RECOMPENSAS,0.88,mao segurando cartao e bonus offer worth 447
155,CC,PERSON,HORIZONTAL,EN,RECOMPENSAS,0.88,mao segurando cartao e bonus offer worth 447
156,CC,PERSON,HORIZONTAL,EN,RECOMPENSAS,0.88,mao segurando cartao e bonus offer worth 447
157,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.90,headline tarjeta aprobada com limite 12000
158,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.90,credit card approved for you
159,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.88,tarjeta de credito aprobada com faixa de limite
160,CC,PERSON,HORIZONTAL,DE,APROBACION,0.88,kreditkarte genehmigt com limites disponiveis
161,CC,PERSON,HORIZONTAL,DE,APROBACION,0.88,kreditkarte genehmigt com limites disponiveis
162,CC,PERSON,HORIZONTAL,DE,APROBACION,0.88,kreditkarte genehmigt com limites disponiveis
163,CC,NO_PERSON,HORIZONTAL,UNKNOWN,UNKNOWN,0.70,apenas imagens de cartoes sem texto claro
164,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.90,tarjeta aprobada com limite 12000
165,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.90,approves even with bad credit e limit up to 23000
166,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.90,approves even with bad credit e 94 approval
167,CC,NO_PERSON,HORIZONTAL,EN,APROBACION,0.90,credit card approved com available limits
168,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.88,tarjeta de credito aprobada e solicitar ahora
169,CC,PERSON,HORIZONTAL,ES,LIMITE_ALTO,0.78,sin consulta sin anualidad com limites de credito
170,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.86,story com aprova incluso a endeudados e limite ate 23000
171,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.86,story com aprova incluso a endeudados e limite 21375
172,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.82,story com aprova incluso a endeudados e 94 aprobacion
173,CC,NO_PERSON,HORIZONTAL,ES,APROBACION,0.72,banner pequeno com tarjeta de credito preaprobada
174,CC,NO_PERSON,VERTICAL,ES,LIMITE_ALTO,0.82,story com valor 23472 e proposta de cartao
175,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.84,credit card requested approved com limited time offer
176,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.90,Credit card that approves even with bad credit limite up to 23000
177,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.85,Creative de cartão de crédito com approval 21375 e 94 percent approval
178,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.80,Creative em espanhol com mão segurando cartão e chamadas Sin Consulta Sin Anualidad e limites de crédito
