index,vertical,person,orientation,language,angle,confidence,notes
96,CC,NO_PERSON,VERTICAL,ES,LIMITE_ALTO,0.96,limite hasta 10000
97,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.86,bad credit not problem
98,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.93,santa graphic approved
99,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.93,santa graphic approved
100,CC,PERSON,VERTICAL,EN,APROBACION,0.95,woman credit card approved
101,CC,NO_PERSON,VERTICAL,EN,RECOMPENSAS,0.78,receive value/reward likely
102,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.82,value 14880
103,CC,NO_PERSON,VERTICAL,EN,LIMITE_ALTO,0.91,new limit 7125
104,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.96,tarjeta aprobada
105,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.82,value 13900
106,CC,PERSON,VERTICAL,EN,UNKNOWN,0.66,text unclear
107,CC,NO_PERSON,VERTICAL,ES,APROBACION,0.91,value 21375 approval
108,CC,PERSON,VERTICAL,EN,UNKNOWN,0.69,text unclear
109,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.96,card approved
110,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.95,credit card approved
111,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.86,value 15890
112,CC,NO_PERSON,VERTICAL,EN,LIMITE_ALTO,0.93,value 13678 limited offer
113,CC,NO_PERSON,VERTICAL,EN,LIMITE_ALTO,0.93,value 13678 limited offer
114,CC,NO_PERSON,VERTICAL,EN,LIMITE_ALTO,0.93,value 13678
115,CC,NO_PERSON,VERTICAL,EN,LIMITE_ALTO,0.93,value 13678
116,CC,NO_PERSON,VERTICAL,EN,LIMITE_ALTO,0.91,value 13678
117,CC,PERSON,VERTICAL,DE,APROBACION,0.88,kreditkarte genehmigt hand card
118,CC,PERSON,VERTICAL,ES,UNKNOWN,0.78,woman cards text unclear
119,CC,PERSON,VERTICAL,EN,LIMITE_ALTO,0.88,value 14567
120,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.95,approved for you
121,CC,PERSON,VERTICAL,DE,APROBACION,0.92,kreditkarte genehmigt hand card
122,CC,PERSON,VERTICAL,DE,APROBACION,0.92,german approved hand card
123,CC,PERSON,VERTICAL,DE,APROBACION,0.91,german approval hand card
124,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.95,approved for you value 4550
125,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.95,credit card approved
126,CC,NO_PERSON,VERTICAL,EN,APROBACION,0.88,approved card
127,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.82,value 12898
128,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.82,value 13990 Mexico
129,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.78,value 18500 Mexico
130,CC,PERSON,VERTICAL,ES,LIMITE_ALTO,0.70,value 17789 Mexico
