source_drive_id,source_relative_path,current_filename,destination_filename,destination_folder,format,country,language,angle,p_orient,source_bucket,md5_checksum,queue_action,drive_write_status,queue_id,original_filename
1rpKghCSkeBeQU8MtnCk_oIF-ulaUJU4U,UPLOAD_CANVAS/cartao de credito/imagens/feed/2-feed.png,2-feed.png,CC_US_ES_IMG_APROBACION_NH_010.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,NH,visual_review_promoted,2be2f83de43e15eb3de0d6b26b7a768a,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,72c8ffc18ede416d,2-feed.png
1GBzRZsIzvRhXoAFvRQKrn3PZt0iudtwd,UPLOAD_CANVAS/cartao de credito/imagens/feed/2.png,2.png,CC_MX_ES_IMG_LIMITE_ALTO_NH_002.png,MGS-CRIATIVOS/CC_MX_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,MX,ES,LIMITE_ALTO,NH,visual_review_promoted,f0d45b34bbde4452222e9edf538a4aa4,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,ba2654e6d864f644,2.png
1HWbXURJXMmNCibQ9Ly3D8v-FEhPB_3QR,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 - Feed espanhol__DAHJAEeBVkY.png,03 - Feed espanhol__DAHJAEeBVkY.png,CC_US_ES_IMG_APROBACION_NH_002.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,NH,visual_review_promoted,b50ba42003cddd7bcdc1a5bb0fa5fd9d,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,f5da24ae6054105b,03 - Feed espanhol__DAHJAEeBVkY.png
1jGZeaRPQNpTPFqYTLTyN0KIwgqQVL22v,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 - Feed Ingles__DAGS_eXRxtg.png,03 - Feed Ingles__DAGS_eXRxtg.png,CC_US_EN_IMG_LIMITE_ALTO_PH_001.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,LIMITE_ALTO,PH,visual_review_promoted,3aeb0df028c44713aa4ec502424ec700,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,065c4ebc36302fd5,03 - Feed Ingles__DAGS_eXRxtg.png
1Y-7wszsm_CJ12MNal3GDiFYTa9FxW2wh,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 INGLES - FD.png,03 INGLES - FD.png,CC_US_EN_IMG_APROBACION_NH_003.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,APROBACION,NH,visual_review_promoted,d4f32ed0adbcae212c31e981fff5a501,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,59dcc407393b8f05,03 INGLES - FD.png
1MpnTPJUeHEzjoOwIOUjTdmvwhgbBKj7h,UPLOAD_CANVAS/cartao de credito/imagens/feed/03-criativonovo-feed.png,03-criativonovo-feed.png,CC_US_ES_IMG_APROBACION_NH_003.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,NH,visual_review_promoted,052c6f59864aca207439b0f4969678be,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,d63f0be95b133f4e,03-criativonovo-feed.png
10qqrhWZfxy2mhoKys__8fWizWHF-X7Qg,UPLOAD_CANVAS/cartao de credito/imagens/feed/3-feed.png,3-feed.png,CC_US_ES_IMG_LIMITE_ALTO_NV_001.png,MGS-CRIATIVOS/CC_US_ES/IMG/STORY/ES/01_READY_CANDIDATE,IMG,US,ES,LIMITE_ALTO,NV,visual_review_promoted,13fc29afe07752fd9871d27930e12d64,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,d033a1eeab45d046,3-feed.png
1NBBgxwFXQXrIEdCZvcrKGe_pfJXMYIbX,UPLOAD_CANVAS/cartao de credito/imagens/feed/3.png,3.png,CC_MX_ES_IMG_LIMITE_ALTO_NH_003.png,MGS-CRIATIVOS/CC_MX_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,MX,ES,LIMITE_ALTO,NH,visual_review_promoted,965733ff86d5d2fe6b2907d6f292d650,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,4c97b2b48361e0c4,3.png
1Eg4hBKZvH4WFFs-H7sufJtVYVahOZdt_,UPLOAD_CANVAS/cartao de credito/imagens/feed/04 - Feed Ingles__DAGS_fR-1sI.png,04 - Feed Ingles__DAGS_fR-1sI.png,CC_US_EN_IMG_LIMITE_ALTO_PH_002.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,LIMITE_ALTO,PH,visual_review_promoted,d27424ded79ebedc9a6f382e33b5a66e,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,9ca428811c7a9665,04 - Feed Ingles__DAGS_fR-1sI.png
1kowIUy0SGtcZdophx6oQVcsFPRSZSo6E,UPLOAD_CANVAS/cartao de credito/imagens/feed/4.png,4.png,CC_US_ES_IMG_LIMITE_ALTO_NH_002.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,LIMITE_ALTO,NH,visual_review_promoted,d3f2932907297dd76c70f1420d66a635,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,c035e5f919dda71a,4.png
1IyalTotR4pvzBKIUEVKF9S9lvMpAL3Gl,UPLOAD_CANVAS/cartao de credito/imagens/feed/05 - Feed espanhol__DAHJAHVWoPE.png,05 - Feed espanhol__DAHJAHVWoPE.png,CC_US_ES_IMG_APROBACION_NH_004.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,NH,visual_review_promoted,ad18d6f415a3d53d2baf19b9f8c31538,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,7bb41da836aea62a,05 - Feed espanhol__DAHJAHVWoPE.png
1vDfheAOAhczlAfw1LDjR_dl9BgHxS2Bw,UPLOAD_CANVAS/cartao de credito/imagens/feed/05 - Feed Ingles__DAGS_bKcPSg.png,05 - Feed Ingles__DAGS_bKcPSg.png,CC_US_EN_IMG_LIMITE_ALTO_PH_003.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,LIMITE_ALTO,PH,visual_review_promoted,1be8bc0af3c84548d4500c4430c2a6c4,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,3dd464c1a2a750c4,05 - Feed Ingles__DAGS_bKcPSg.png
1LcRnZYIYWzjEEtqcnqSB7afS0ITA-uB0,UPLOAD_CANVAS/cartao de credito/imagens/feed/05-criativonovo-feed.png,05-criativonovo-feed.png,CC_US_ES_IMG_APROBACION_NH_005.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,NH,visual_review_promoted,403a5bbbe9f8019906e77d5c6099958d,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,1342a7a766d94bd1,05-criativonovo-feed.png
1N_4BsW7hVJ_jR4rQcnXk2O9X-BVNxtEt,UPLOAD_CANVAS/cartao de credito/imagens/feed/5-feed.png,5-feed.png,CC_US_ES_IMG_APROBACION_NH_019.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,NH,visual_review_promoted,bbf0a9b97f7c10f0950ad4432fce230e,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,160e7044caf0a7ab,5-feed.png
1nnzUwGLvXk3A-LMVF3hLlCmNnbNxiRrj,UPLOAD_CANVAS/cartao de credito/imagens/feed/06-criativonovo-feed.png,06-criativonovo-feed.png,CC_US_ES_IMG_APROBACION_NH_006.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,NH,visual_review_promoted,90865f373887efbf66b7fc5a582d7623,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,43f7407a52a38f41,06-criativonovo-feed.png
1imC2or9DgE26aAZzRnBOupbR8A5-Hnr8,UPLOAD_CANVAS/cartao de credito/imagens/feed/08 - Feed ingles__DAGVqdXP8jI.png,08 - Feed ingles__DAGVqdXP8jI.png,CC_US_EN_IMG_LIMITE_ALTO_NH_001.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,LIMITE_ALTO,NH,visual_review_promoted,b46e7b3d6e3a62c90a1fc8f23143836a,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,245130576f5c946a,08 - Feed ingles__DAGVqdXP8jI.png
1JnnBMeaTBJolIlqNEsuiQWvxWk8u9m0L,UPLOAD_CANVAS/cartao de credito/imagens/feed/09 - Feed alemanha__DAGSc0eVkGQ.png,09 - Feed alemanha__DAGSc0eVkGQ.png,CC_DE_DE_IMG_LIMITE_ALTO_PH_001.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,IMG,DE,DE,LIMITE_ALTO,PH,visual_review_promoted,9fda3a1b8f0dc8afe2787d469708a8a9,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,da873b4f03e311e8,09 - Feed alemanha__DAGSc0eVkGQ.png
1VIoMBO06NyHteN-Pjon313VBf_si-VPC,UPLOAD_CANVAS/cartao de credito/imagens/feed/09 - Feed ingles__DAGVqU2gobM.png,09 - Feed ingles__DAGVqU2gobM.png,CC_US_EN_IMG_LIMITE_ALTO_NH_002.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,LIMITE_ALTO,NH,visual_review_promoted,e0055c267a78bfcd0e9080bf6cd14d4b,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,e734ae150c9402e3,09 - Feed ingles__DAGVqU2gobM.png
1p2y-wfaPAIzOxvV-BN33e-aL0sMfvd2k,UPLOAD_CANVAS/cartao de credito/imagens/feed/10 - Feed alemanha__DAGS7LDcKpg.png,10 - Feed alemanha__DAGS7LDcKpg.png,CC_DE_DE_IMG_LIMITE_ALTO_PH_002.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,IMG,DE,DE,LIMITE_ALTO,PH,visual_review_promoted,ba7bdfd4f035d0dba119742033df0cbe,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,23e1310fc81041b2,10 - Feed alemanha__DAGS7LDcKpg.png
1f9sWR4dAIuMbDohnprtFrCZmm5ooifB1,UPLOAD_CANVAS/cartao de credito/imagens/feed/10 - Feed ingles__DAGVqflee04.png,10 - Feed ingles__DAGVqflee04.png,CC_US_EN_IMG_APROBACION_NH_004.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,APROBACION,NH,visual_review_promoted,4272cda46c40d0cef56184b8d2f04867,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,6cb57a70dd479162,10 - Feed ingles__DAGVqflee04.png
1NgBzP5trKVew-2Ly1mwVrOFcfqm9GUAm,UPLOAD_CANVAS/cartao de credito/imagens/feed/11 - Feed alemanha__DAGS7BtAVDM.png,11 - Feed alemanha__DAGS7BtAVDM.png,CC_DE_DE_IMG_LIMITE_ALTO_PH_003.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,IMG,DE,DE,LIMITE_ALTO,PH,visual_review_promoted,aa462f3493a0da5ab9b9771259f76d26,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,6891dd10ccd02c14,11 - Feed alemanha__DAGS7BtAVDM.png
1hR6zY-qJw98PIXs2R4gqpQ3tbzeYmpb6,UPLOAD_CANVAS/cartao de credito/imagens/feed/11- Feed ingles__DAGVqXLzo2Y.png,11- Feed ingles__DAGVqXLzo2Y.png,CC_US_EN_IMG_APROBACION_NH_005.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,APROBACION,NH,visual_review_promoted,b8c6fb287ffffcfca2c30a3ce6293728,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,6c2d0494a015e4fc,11- Feed ingles__DAGVqXLzo2Y.png
13QtWaqK0ZfIxwlPLDKv3umyFfy8dZnFk,UPLOAD_CANVAS/cartao de credito/imagens/feed/12- Feed ingles__DAGVqac20xY.png,12- Feed ingles__DAGVqac20xY.png,CC_US_EN_IMG_APROBACION_NH_006.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,APROBACION,NH,visual_review_promoted,32a56d990aab72e139c01655b531bea0,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,729b10f0f447288c,12- Feed ingles__DAGVqac20xY.png
1yycJe4cfnQer5cloulhAMvk7AR6KULBP,UPLOAD_CANVAS/cartao de credito/imagens/feed/13 - Feed espanhol__DAGS2E3yh3U.png,13 - Feed espanhol__DAGS2E3yh3U.png,CC_US_ES_IMG_APROBACION_NH_007.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,NH,visual_review_promoted,04fa44237e6af02ff6ebca98716e4472,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,8c4639477801f611,13 - Feed espanhol__DAGS2E3yh3U.png
19W5MmR2j-MBHQXuEvB8MzYlA6nY97zlo,UPLOAD_CANVAS/cartao de credito/imagens/feed/13 - Feed ingles__DAGVqleiX40.png,13 - Feed ingles__DAGVqleiX40.png,CC_US_EN_IMG_APROBACION_NH_007.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,APROBACION,NH,visual_review_promoted,9354b0a55882cf5c81c534f869531ef6,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,8710dea6c2186d6d,13 - Feed ingles__DAGVqleiX40.png
1vZDCBgEq7aScq31ZZioTMjgaeKyN0HDh,UPLOAD_CANVAS/cartao de credito/imagens/feed/14 - Feed espanhol__DAGS2GtZn7s.png,14 - Feed espanhol__DAGS2GtZn7s.png,CC_US_ES_IMG_APROBACION_NH_008.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,NH,visual_review_promoted,21699808a66a2cb0c097f1d8fc7f548b,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,af635b0d4f0de4ad,14 - Feed espanhol__DAGS2GtZn7s.png
1eg00hODMeD3bqMXFHMObF0KwPE4NCGnJ,UPLOAD_CANVAS/cartao de credito/imagens/feed/14 - Feed ingles__DAGVwgtw7O8.png,14 - Feed ingles__DAGVwgtw7O8.png,CC_US_EN_IMG_APROBACION_PH_001.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,APROBACION,PH,visual_review_promoted,d89936ff4d43550bf9a6b33d0cee8353,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,6f0eaded4da053d7,14 - Feed ingles__DAGVwgtw7O8.png
1DrfGYnwE1ZufWZRi-WWUtleFd48FeK7_,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed espanhol__DAGS2Jy8x30.png,15 - Feed espanhol__DAGS2Jy8x30.png,CC_US_ES_IMG_APROBACION_NH_009.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,NH,visual_review_promoted,dec3b0ae1830adae1c22a8cf146194cf,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,7a3c40625cd6b180,15 - Feed espanhol__DAGS2Jy8x30.png
1SXnQyVzvql2P949fZpmG4znBc2ewad7a,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed espanhol__DAGS57LwJiU.png,15 - Feed espanhol__DAGS57LwJiU.png,CC_US_ES_IMG_APROBACION_PH_003.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,PH,visual_review_promoted,919bdb03941541ab397873657231ee33,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,74253fe8e76d8350,15 - Feed espanhol__DAGS57LwJiU.png
1m_KvnGu9M8_2NRy8NrSE4abNUkyqVynU,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed Espanhol__DAGxK84OnvM.png,15 - Feed Espanhol__DAGxK84OnvM.png,CC_US_ES_IMG_RECOMPENSAS_PH_001.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,RECOMPENSAS,PH,visual_review_promoted,9ad5c7475193fabbaebda9925b572bb9,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,7d02155ce8606cce,15 - Feed Espanhol__DAGxK84OnvM.png
1D9LunaG_zpQxmxz8zRNpZWKf7iWPk9fH,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed Espanhol__DAGxLKx2xAk.png,15 - Feed Espanhol__DAGxLKx2xAk.png,CC_US_ES_IMG_RECOMPENSAS_PH_002.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,RECOMPENSAS,PH,visual_review_promoted,5c6115bcc11d433bd96cdeb2df9fad32,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,1a913b399d97a796,15 - Feed Espanhol__DAGxLKx2xAk.png
1F_E3jK5VfvpDiRg1DEtmn6ysay65MiDe,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed Espanhol__DAGxLP5YBbA.png,15 - Feed Espanhol__DAGxLP5YBbA.png,CC_US_ES_IMG_RECOMPENSAS_PH_003.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,RECOMPENSAS,PH,visual_review_promoted,25d2ae5d102e3d739cc473848b0236a4,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,07112e129e443354,15 - Feed Espanhol__DAGxLP5YBbA.png
1NA3vzWqRgcZ0kz_Tsy9keYJArs_njLEI,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed ingles__DAGVwr-hrsY.png,15 - Feed ingles__DAGVwr-hrsY.png,CC_US_EN_IMG_APROBACION_PH_002.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,APROBACION,PH,visual_review_promoted,f5fef9ee83b51648b40b893f206f6222,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,627ce5be8a77141f,15 - Feed ingles__DAGVwr-hrsY.png
1fZ0HL-Tqo6MrwnM36nr5QJYbezO2ziGk,UPLOAD_CANVAS/cartao de credito/imagens/feed/16 - Feed espanhol__DAGS5kasshY.png,16 - Feed espanhol__DAGS5kasshY.png,CC_US_ES_IMG_APROBACION_PH_004.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,APROBACION,PH,visual_review_promoted,b8cf119cfb41f1b12c46947a8f4ea35b,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,a214e7da715b8718,16 - Feed espanhol__DAGS5kasshY.png
1MTb2YKihYcF962c04Axvqs7WG7cTNQQT,UPLOAD_CANVAS/cartao de credito/imagens/feed/16 - Feed ingles__DAGVwtMXdSo.png,16 - Feed ingles__DAGVwtMXdSo.png,CC_US_EN_IMG_APROBACION_PH_003.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,IMG,US,EN,APROBACION,PH,visual_review_promoted,0cb04dcd8168d63268eec2106af52b41,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,6486a84c332055d7,16 - Feed ingles__DAGVwtMXdSo.png
1hwrG-itTPK7WRVdbSImZmw5lLepwcrfJ,UPLOAD_CANVAS/cartao de credito/imagens/feed/17 - Feed espanhol__DAGS6_18_mc.png,17 - Feed espanhol__DAGS6_18_mc.png,CC_US_ES_IMG_LIMITE_ALTO_PH_001.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,IMG,US,ES,LIMITE_ALTO,PH,visual_review_promoted,9112a04af61860f15dbf7bc5b34e6679,CLEAN_METADATA_THEN_COPY_KEEP_RAW,NOT_EXECUTED,dab62ee0ae6633c4,17 - Feed espanhol__DAGS6_18_mc.png
