source_kind,review_index,drive_id,current_filename,relative_path,vertical,country,language,format,angle,person,orientation,p_orient,confidence,notes,proposed_stem,ready_for_rename,variant,proposed_filename,destination_folder,queue_action
IMG,11,1HWbXURJXMmNCibQ9Ly3D8v-FEhPB_3QR,03 - Feed espanhol__DAHJAEeBVkY.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 - Feed espanhol__DAHJAEeBVkY.png,CC,US,ES,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.90,Tarjeta de credito aprobada com opciones de limite,CC_US_ES_IMG_APROBACION_NH,yes,002,CC_US_ES_IMG_APROBACION_NH_002.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,12,1Y-7wszsm_CJ12MNal3GDiFYTa9FxW2wh,03 INGLES - FD.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 INGLES - FD.png,CC,US,EN,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.90,Credit card approved e valor US 13678,CC_US_EN_IMG_APROBACION_NH,yes,003,CC_US_EN_IMG_APROBACION_NH_003.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,13,1wQ1b9uDCtGCDgFEfUBqyHMT7mIiE2CJl,03 Trabalho - Feed ingles__DAGfG0b0n7g.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 Trabalho - Feed ingles__DAGfG0b0n7g.png,JOBS,US,ES,IMG,UNKNOWN,NO_PERSON,HORIZONTAL,NH,0.88,Anuncio para repartidores entrega medicamentos salario 28 por hora,JOBS_US_ES_IMG_UNKNOWN_NH,no,001,JOBS_US_ES_IMG_UNKNOWN_NH_001.png,MGS-CRIATIVOS/REVIEW/IMG/FEED/ES/00_REVIEW,MANUAL_REVIEW
IMG,14,1MpnTPJUeHEzjoOwIOUjTdmvwhgbBKj7h,03-criativonovo-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/03-criativonovo-feed.png,CC,US,ES,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.88,Tarjeta que aprueba incluso a endeudados e limite 23000,CC_US_ES_IMG_APROBACION_NH,yes,003,CC_US_ES_IMG_APROBACION_NH_003.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,15,1Eg4hBKZvH4WFFs-H7sufJtVYVahOZdt_,04 - Feed Ingles__DAGS_fR-1sI.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/04 - Feed Ingles__DAGS_fR-1sI.png,CC,US,EN,IMG,LIMITE_ALTO,PERSON,HORIZONTAL,PH,0.93,Credit card approved com available limits 12000 14000 16000,CC_US_EN_IMG_LIMITE_ALTO_PH,yes,002,CC_US_EN_IMG_LIMITE_ALTO_PH_002.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,16,1TOlULnGmvFL8l_NoUodoeF-x38lyBBcg,04 Trabalho - Feed ingles__DAGfGuoEqjE.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/04 Trabalho - Feed ingles__DAGfGuoEqjE.png,JOBS,US,ES,IMG,UNKNOWN,PERSON,HORIZONTAL,PH,0.96,Foto de trabalhador e trabajos de almacen salario 28 por hora,JOBS_US_ES_IMG_UNKNOWN_PH,no,003,JOBS_US_ES_IMG_UNKNOWN_PH_003.png,MGS-CRIATIVOS/REVIEW/IMG/FEED/ES/00_REVIEW,MANUAL_REVIEW
IMG,17,1vDfheAOAhczlAfw1LDjR_dl9BgHxS2Bw,05 - Feed Ingles__DAGS_bKcPSg.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/05 - Feed Ingles__DAGS_bKcPSg.png,CC,US,EN,IMG,LIMITE_ALTO,PERSON,HORIZONTAL,PH,0.93,Credit limit approved com limites disponiveis,CC_US_EN_IMG_LIMITE_ALTO_PH,yes,003,CC_US_EN_IMG_LIMITE_ALTO_PH_003.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,18,1IyalTotR4pvzBKIUEVKF9S9lvMpAL3Gl,05 - Feed espanhol__DAHJAHVWoPE.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/05 - Feed espanhol__DAHJAHVWoPE.png,CC,US,ES,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.90,Tarjeta de credito aprobada sin complicaciones,CC_US_ES_IMG_APROBACION_NH,yes,004,CC_US_ES_IMG_APROBACION_NH_004.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,19,18eeGmUDJUINupUY5sljyPxju8Vyf7HJ0,05 Trabalho - Feed ingles__DAGfHBBYyZo.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/05 Trabalho - Feed ingles__DAGfHBBYyZo.png,JOBS,US,ES,IMG,UNKNOWN,PERSON,HORIZONTAL,PH,0.96,Foto de repartidor e salario de hasta 23 por hora,JOBS_US_ES_IMG_UNKNOWN_PH,no,004,JOBS_US_ES_IMG_UNKNOWN_PH_004.png,MGS-CRIATIVOS/REVIEW/IMG/FEED/ES/00_REVIEW,MANUAL_REVIEW
IMG,20,1LcRnZYIYWzjEEtqcnqSB7afS0ITA-uB0,05-criativonovo-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/05-criativonovo-feed.png,CC,US,ES,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.86,Tarjeta que aprueba incluso a endeudados com limite disponible,CC_US_ES_IMG_APROBACION_NH,yes,005,CC_US_ES_IMG_APROBACION_NH_005.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,21,1nnzUwGLvXk3A-LMVF3hLlCmNnbNxiRrj,06-criativonovo-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/06-criativonovo-feed.png,CC,US,ES,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.88,Tarjeta que aprueba incluso a endeudados e 94 aprobacion,CC_US_ES_IMG_APROBACION_NH,yes,006,CC_US_ES_IMG_APROBACION_NH_006.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,22,1imC2or9DgE26aAZzRnBOupbR8A5-Hnr8,08 - Feed ingles__DAGVqdXP8jI.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/08 - Feed ingles__DAGVqdXP8jI.png,CC,US,EN,IMG,LIMITE_ALTO,NO_PERSON,HORIZONTAL,NH,0.90,Credit card approved com available limit US 12345,CC_US_EN_IMG_LIMITE_ALTO_NH,yes,001,CC_US_EN_IMG_LIMITE_ALTO_NH_001.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,23,1JnnBMeaTBJolIlqNEsuiQWvxWk8u9m0L,09 - Feed alemanha__DAGSc0eVkGQ.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/09 - Feed alemanha__DAGSc0eVkGQ.png,CC,DE,DE,IMG,LIMITE_ALTO,PERSON,HORIZONTAL,PH,0.94,Mao segurando cartao e texto Ihr neues Kreditlimit,CC_DE_DE_IMG_LIMITE_ALTO_PH,yes,001,CC_DE_DE_IMG_LIMITE_ALTO_PH_001.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,24,1VIoMBO06NyHteN-Pjon313VBf_si-VPC,09 - Feed ingles__DAGVqU2gobM.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/09 - Feed ingles__DAGVqU2gobM.png,CC,US,EN,IMG,LIMITE_ALTO,NO_PERSON,HORIZONTAL,NH,0.90,Credit card approved com available limit US 12345,CC_US_EN_IMG_LIMITE_ALTO_NH,yes,002,CC_US_EN_IMG_LIMITE_ALTO_NH_002.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,25,15LvIiykgcRVvMj8msxCcs0EoZUfRewAX,1-feed.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/1-feed.png,CC,US,ES,IMG,LIMITE_ALTO,NO_PERSON,HORIZONTAL,NH,0.90,Tarjeta aprobada com limite disponible hasta 22000,CC_US_ES_IMG_LIMITE_ALTO_NH,yes,001,CC_US_ES_IMG_LIMITE_ALTO_NH_001.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,26,1p2y-wfaPAIzOxvV-BN33e-aL0sMfvd2k,10 - Feed alemanha__DAGS7LDcKpg.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/10 - Feed alemanha__DAGS7LDcKpg.png,CC,DE,DE,IMG,LIMITE_ALTO,PERSON,HORIZONTAL,PH,0.88,Criativo quadrado feed mao segurando cartão texto em alemão sobre novo limite de crédito,CC_DE_DE_IMG_LIMITE_ALTO_PH,yes,002,CC_DE_DE_IMG_LIMITE_ALTO_PH_002.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,27,1f9sWR4dAIuMbDohnprtFrCZmm5ooifB1,10 - Feed ingles__DAGVqflee04.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/10 - Feed ingles__DAGVqflee04.png,CC,US,EN,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.90,Credit card approved limite disponível visível sem pessoa,CC_US_EN_IMG_APROBACION_NH,yes,004,CC_US_EN_IMG_APROBACION_NH_004.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,28,1NgBzP5trKVew-2Ly1mwVrOFcfqm9GUAm,11 - Feed alemanha__DAGS7BtAVDM.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/11 - Feed alemanha__DAGS7BtAVDM.png,CC,DE,DE,IMG,LIMITE_ALTO,PERSON,HORIZONTAL,PH,0.88,Mão segurando cartão alemão foco em novo limite de crédito,CC_DE_DE_IMG_LIMITE_ALTO_PH,yes,003,CC_DE_DE_IMG_LIMITE_ALTO_PH_003.png,MGS-CRIATIVOS/CC_DE_DE/IMG/FEED/DE/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,29,1hR6zY-qJw98PIXs2R4gqpQ3tbzeYmpb6,11- Feed ingles__DAGVqXLzo2Y.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/11- Feed ingles__DAGVqXLzo2Y.png,CC,US,EN,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.92,Credit card approved com available limit sem pessoa,CC_US_EN_IMG_APROBACION_NH,yes,005,CC_US_EN_IMG_APROBACION_NH_005.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,30,13QtWaqK0ZfIxwlPLDKv3umyFfy8dZnFk,12- Feed ingles__DAGVqac20xY.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/12- Feed ingles__DAGVqac20xY.png,CC,US,EN,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.92,Credit card approved limite disponível sem pessoa,CC_US_EN_IMG_APROBACION_NH,yes,006,CC_US_EN_IMG_APROBACION_NH_006.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,31,1yycJe4cfnQer5cloulhAMvk7AR6KULBP,13 - Feed espanhol__DAGS2E3yh3U.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/13 - Feed espanhol__DAGS2E3yh3U.png,CC,US,ES,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.90,Tarjeta aprobada novo limite sem pessoa visível,CC_US_ES_IMG_APROBACION_NH,yes,007,CC_US_ES_IMG_APROBACION_NH_007.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,32,19W5MmR2j-MBHQXuEvB8MzYlA6nY97zlo,13 - Feed ingles__DAGVqleiX40.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/13 - Feed ingles__DAGVqleiX40.png,CC,US,EN,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.91,Credit card approved limite disponível sem pessoa,CC_US_EN_IMG_APROBACION_NH,yes,007,CC_US_EN_IMG_APROBACION_NH_007.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,33,1vZDCBgEq7aScq31ZZioTMjgaeKyN0HDh,14 - Feed espanhol__DAGS2GtZn7s.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/14 - Feed espanhol__DAGS2GtZn7s.png,CC,US,ES,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.90,Tarjeta aprobada novo limite cartões apenas,CC_US_ES_IMG_APROBACION_NH,yes,008,CC_US_ES_IMG_APROBACION_NH_008.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,34,1eg00hODMeD3bqMXFHMObF0KwPE4NCGnJ,14 - Feed ingles__DAGVwgtw7O8.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/14 - Feed ingles__DAGVwgtw7O8.png,CC,US,EN,IMG,APROBACION,PERSON,HORIZONTAL,PH,0.92,Mão segurando cartão Credit card approved limited time offer,CC_US_EN_IMG_APROBACION_PH,yes,001,CC_US_EN_IMG_APROBACION_PH_001.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,35,1m_KvnGu9M8_2NRy8NrSE4abNUkyqVynU,15 - Feed Espanhol__DAGxK84OnvM.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed Espanhol__DAGxK84OnvM.png,CC,US,ES,IMG,RECOMPENSAS,PERSON,HORIZONTAL,PH,0.90,Tarjeta aprobada com limite e oferta de bonificación valer 447 mão visível,CC_US_ES_IMG_RECOMPENSAS_PH,yes,001,CC_US_ES_IMG_RECOMPENSAS_PH_001.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,36,1D9LunaG_zpQxmxz8zRNpZWKf7iWPk9fH,15 - Feed Espanhol__DAGxLKx2xAk.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed Espanhol__DAGxLKx2xAk.png,CC,US,ES,IMG,RECOMPENSAS,PERSON,HORIZONTAL,PH,0.90,Oferta de bonificación 447 em destaque mão segurando cartão,CC_US_ES_IMG_RECOMPENSAS_PH,yes,002,CC_US_ES_IMG_RECOMPENSAS_PH_002.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,37,1F_E3jK5VfvpDiRg1DEtmn6ysay65MiDe,15 - Feed Espanhol__DAGxLP5YBbA.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed Espanhol__DAGxLP5YBbA.png,CC,US,ES,IMG,RECOMPENSAS,PERSON,HORIZONTAL,PH,0.90,Oferta de bonificación 447 mão e cartão espanhol,CC_US_ES_IMG_RECOMPENSAS_PH,yes,003,CC_US_ES_IMG_RECOMPENSAS_PH_003.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,38,1DrfGYnwE1ZufWZRi-WWUtleFd48FeK7_,15 - Feed espanhol__DAGS2Jy8x30.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed espanhol__DAGS2Jy8x30.png,CC,US,ES,IMG,APROBACION,NO_PERSON,HORIZONTAL,NH,0.88,Tarjeta aprobada novo limite sem pessoa,CC_US_ES_IMG_APROBACION_NH,yes,009,CC_US_ES_IMG_APROBACION_NH_009.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,39,1SXnQyVzvql2P949fZpmG4znBc2ewad7a,15 - Feed espanhol__DAGS57LwJiU.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed espanhol__DAGS57LwJiU.png,CC,US,ES,IMG,APROBACION,PERSON,HORIZONTAL,PH,0.86,Tarjeta aprobada mão segurando cartão menção a benefícios exclusivos,CC_US_ES_IMG_APROBACION_PH,yes,003,CC_US_ES_IMG_APROBACION_PH_003.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,40,1NA3vzWqRgcZ0kz_Tsy9keYJArs_njLEI,15 - Feed ingles__DAGVwr-hrsY.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed ingles__DAGVwr-hrsY.png,CC,US,EN,IMG,APROBACION,PERSON,HORIZONTAL,PH,0.91,Credit card approved mão segurando cartão verde limite disponível,CC_US_EN_IMG_APROBACION_PH,yes,002,CC_US_EN_IMG_APROBACION_PH_002.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,41,1fZ0HL-Tqo6MrwnM36nr5QJYbezO2ziGk,16 - Feed espanhol__DAGS5kasshY.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/16 - Feed espanhol__DAGS5kasshY.png,CC,US,ES,IMG,APROBACION,PERSON,HORIZONTAL,PH,0.86,Tarjeta aprobada mão segurando cartão benefícios exclusivos,CC_US_ES_IMG_APROBACION_PH,yes,004,CC_US_ES_IMG_APROBACION_PH_004.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,42,1MTb2YKihYcF962c04Axvqs7WG7cTNQQT,16 - Feed ingles__DAGVwtMXdSo.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/16 - Feed ingles__DAGVwtMXdSo.png,CC,US,EN,IMG,APROBACION,PERSON,HORIZONTAL,PH,0.91,Credit card approved mão com cartão limite disponível,CC_US_EN_IMG_APROBACION_PH,yes,003,CC_US_EN_IMG_APROBACION_PH_003.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,43,1hwrG-itTPK7WRVdbSImZmw5lLepwcrfJ,17 - Feed espanhol__DAGS6_18_mc.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/17 - Feed espanhol__DAGS6_18_mc.png,CC,US,ES,IMG,LIMITE_ALTO,PERSON,HORIZONTAL,PH,0.88,Tarjeta aprobada novo limite 10183 em destaque mão segurando vários cartões,CC_US_ES_IMG_LIMITE_ALTO_PH,yes,001,CC_US_ES_IMG_LIMITE_ALTO_PH_001.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,44,1c_ppIDus984YcHr_Zndtn5Hhd2ZUUABg,17 - Feed espanhol__DAGS6jpM-qc.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/17 - Feed espanhol__DAGS6jpM-qc.png,CC,US,ES,IMG,APROBACION,PERSON,HORIZONTAL,PH,0.86,Tarjeta aprobada mão segurando cartão benefícios exclusivos,CC_US_ES_IMG_APROBACION_PH,yes,005,CC_US_ES_IMG_APROBACION_PH_005.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,45,1kxnt2CqwpqqXRhNdSU2o2ubSF9HfJWUE,17 - Feed ingles__DAGV0--vRMM.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/17 - Feed ingles__DAGV0--vRMM.png,CC,US,EN,IMG,APROBACION,PERSON,HORIZONTAL,PH,0.90,Credit card approved mão cartão available limit 10987,CC_US_EN_IMG_APROBACION_PH,yes,004,CC_US_EN_IMG_APROBACION_PH_004.png,MGS-CRIATIVOS/CC_US_EN/IMG/FEED/EN/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
IMG,46,1mN1GQ-cyD1Dsay7EqevUOUjBsWO8G6W9,18 - Feed espanhol__DAGS6rm09hc.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/18 - Feed espanhol__DAGS6rm09hc.png,CC,US,ES,IMG,LIMITE_ALTO,PERSON,HORIZONTAL,PH,0.88,Tarjeta aprobada novo limite 10183 em destaque mão segurando cartões,CC_US_ES_IMG_LIMITE_ALTO_PH,yes,002,CC_US_ES_IMG_LIMITE_ALTO_PH_002.png,MGS-CRIATIVOS/CC_US_ES/IMG/FEED/ES/01_READY_CANDIDATE,RENAME_OR_COPY_AFTER_APPROVAL
