source_drive_id,source_filename,group_md5,disposition,representative_source_drive_id,destination_filename,angle,product_type,claim,person,p_orient,variant
1fBR1OY3r7XHjHq40cXqzifqz78flmqB7,9_75 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,cb5d4f2ae79b551df504470af164afeb,EXACT_DUPLICATE_SOURCE_ALIAS,1TC5PJaAf8LLgfBQ1l0r7L3DCgRJEo-2A,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_003.mp4,FREE_POWER_BANK,POWER_BANK,FREE POWER BANK,PERSON,PV,003
1A0O379uAYC5Fe9HsgiOAWfQV4Rx2UnfI,12_80 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,26ca36172d4680d8ad71221ecfab76ee,UNIQUE_READY_SOURCE,1A0O379uAYC5Fe9HsgiOAWfQV4Rx2UnfI,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_004.mp4,FREE_POWER_BANK,POWER_BANK,FREE POWER BANK,PERSON,PV,004
1jRL__tI6l9kWcFHqOhpoZqanzzZhaWOp,12_80 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,26ca36172d4680d8ad71221ecfab76ee,EXACT_DUPLICATE_SOURCE_ALIAS,1A0O379uAYC5Fe9HsgiOAWfQV4Rx2UnfI,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_004.mp4,FREE_POWER_BANK,POWER_BANK,FREE POWER BANK,PERSON,PV,004
1ZzqXEiSXM6rx8LTOk3bC1oi0iuQ7gaun,13_79 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,b5537855bd437ca0af3a69bd90b94caf,UNIQUE_READY_SOURCE,1ZzqXEiSXM6rx8LTOk3bC1oi0iuQ7gaun,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_005.mp4,FREE_POWER_BANK,POWER_BANK,FREE POWER BANK,PERSON,PV,005
1tsufQU0z1oSPeqw0FLq3VCrX8pFviTSJ,13_79 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,b5537855bd437ca0af3a69bd90b94caf,EXACT_DUPLICATE_SOURCE_ALIAS,1ZzqXEiSXM6rx8LTOk3bC1oi0iuQ7gaun,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_005.mp4,FREE_POWER_BANK,POWER_BANK,FREE POWER BANK,PERSON,PV,005
1-sIYy5VFPrPdiEuGypkkuS-VTrQl9XmC,14_78 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,5c022be19037ddbaba6142504f75cca4,UNIQUE_READY_SOURCE,1-sIYy5VFPrPdiEuGypkkuS-VTrQl9XmC,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_006.mp4,FREE_POWER_BANK,POWER_BANK,FREE POWER BANK,PERSON,PV,006
1gYKUM1VXTowDnc9GY1laM-Ubinrcta2W,14_78 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,5c022be19037ddbaba6142504f75cca4,EXACT_DUPLICATE_SOURCE_ALIAS,1-sIYy5VFPrPdiEuGypkkuS-VTrQl9XmC,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_006.mp4,FREE_POWER_BANK,POWER_BANK,FREE POWER BANK,PERSON,PV,006
1wAR2S6MZ2nW93MnqN-pD1xCLWlGUtw4w,1_68 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,5ac7cdd7907c5619e71db3647963302a,UNIQUE_READY_SOURCE,1wAR2S6MZ2nW93MnqN-pD1xCLWlGUtw4w,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_001.mp4,FREE_TOOLBOX,TOOLBOX,FREE TOOLBOX,PERSON,PV,001
1kW9WGTiiqI1YMzraDvhGL4nkWXL4JZ_d,2_70 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,6036de95f069bc4361d75d5b22b14e31,UNIQUE_READY_SOURCE,1kW9WGTiiqI1YMzraDvhGL4nkWXL4JZ_d,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_002.mp4,FREE_TOOLBOX,TOOLBOX,FREE TOOLBOX,PERSON,PV,002
1NvHSGlBLjMdJaG4sB_KLj_R1MPdknojv,3_72 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,59290e7bfe3d44c66445d0eb181ffb22,UNIQUE_READY_SOURCE,1NvHSGlBLjMdJaG4sB_KLj_R1MPdknojv,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_003.mp4,FREE_TOOLBOX,TOOLBOX,FREE TOOLBOX,PERSON,PV,003
1nBgCLoBot1r4G9eKoSBwnAeZLGPktZ76,3_72 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,59290e7bfe3d44c66445d0eb181ffb22,EXACT_DUPLICATE_SOURCE_ALIAS,1NvHSGlBLjMdJaG4sB_KLj_R1MPdknojv,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_003.mp4,FREE_TOOLBOX,TOOLBOX,FREE TOOLBOX,PERSON,PV,003
1UCWyqn6wuq_Kzl_89952eagsYFTNA-Pi,6_71 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,0321e90835530dd4f07941c54172ef50,UNIQUE_READY_SOURCE,1UCWyqn6wuq_Kzl_89952eagsYFTNA-Pi,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_004.mp4,FREE_TOOLBOX,TOOLBOX,FREE TOOLBOX,PERSON,PV,004
1IsdmN5UbRRHhnY_ObvtzXU8thlbzKWD1,8_73 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,fd941285a8ef12995f85cd983956df94,UNIQUE_READY_SOURCE,1IsdmN5UbRRHhnY_ObvtzXU8thlbzKWD1,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_005.mp4,FREE_TOOLBOX,TOOLBOX,FREE TOOLBOX,PERSON,PV,005
1Yv2kYM_JzqnpkHzfuhJL6qZGp2GkuunC,8_73 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,fd941285a8ef12995f85cd983956df94,EXACT_DUPLICATE_SOURCE_ALIAS,1IsdmN5UbRRHhnY_ObvtzXU8thlbzKWD1,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_005.mp4,FREE_TOOLBOX,TOOLBOX,FREE TOOLBOX,PERSON,PV,005
1FcGQnWF1I7XdpVDgFMZQRQjI7xAvqPFt,10_69 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,4fd9505ac86b153e8c0d8b8b199c2eb3,UNIQUE_READY_SOURCE,1FcGQnWF1I7XdpVDgFMZQRQjI7xAvqPFt,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_006.mp4,FREE_TOOLBOX,TOOLBOX,FREE TOOLBOX,PERSON,PV,006
1Krw9jR7_CxrVXdEQGmtBWNu6sg-7L70R,11_74 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,b3af0229d636dedaadf95f9919aba8fc,UNIQUE_READY_SOURCE,1Krw9jR7_CxrVXdEQGmtBWNu6sg-7L70R,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_007.mp4,FREE_TOOLBOX,TOOLBOX,FREE TOOLBOX,PERSON,PV,007
1vxFuHMpWEgGWW_nK4FZOr1YqfkHzCHlT,11_74 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,b3af0229d636dedaadf95f9919aba8fc,EXACT_DUPLICATE_SOURCE_ALIAS,1Krw9jR7_CxrVXdEQGmtBWNu6sg-7L70R,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_007.mp4,FREE_TOOLBOX,TOOLBOX,FREE TOOLBOX,PERSON,PV,007
1nTJSjCNaKsG7FTdvBr1awR4RjkebCpwi,1_91 US_SHEIN_EN_06-09  - PRODUTOS SHEIN (INGLES) .mp4,0802d9698ed6e5aed00c20e3e26fbcb3,UNIQUE_READY_SOURCE,1nTJSjCNaKsG7FTdvBr1awR4RjkebCpwi,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_011.mp4,SHEIN_FOR_FREE,SHEIN_PRODUCTS,FREE SHEIN PRODUCTS FOR YOU,PERSON,PV,011
17MubLP9dJWg-YvSB0dRolDDLVcSmUMkw,2_93 US_SHEIN_EN_06-09  - PRODUTOS SHEIN (INGLES) .mp4,f0a860172feaa1994be7cc33b7416d1b,UNIQUE_READY_SOURCE,17MubLP9dJWg-YvSB0dRolDDLVcSmUMkw,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_012.mp4,SHEIN_FOR_FREE,SHEIN_PRODUCTS,FREE SHEIN PRODUCTS FOR YOU,PERSON,PV,012
1XnJ0RJEDxt4JAAOTkdn_DvF8OCHSD9SP,4_90 US_SHEIN_EN_06-09  - PRODUTOS SHEIN (INGLES) .mp4,e2ba71a480311e3894a3f2d08ba05b47,UNIQUE_READY_SOURCE,1XnJ0RJEDxt4JAAOTkdn_DvF8OCHSD9SP,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_013.mp4,SHEIN_FOR_FREE,SHEIN_PRODUCTS,FREE SHEIN PRODUCTS FOR YOU,PERSON,PV,013
1Cnkp5NNOjA6_IeszHC5jnZfIfbrCxCRI,6_92 US_SHEIN_EN_06-09  - PRODUTOS SHEIN (INGLES) .mp4,6a732c76609496673f9ab1233e9505c6,UNIQUE_READY_SOURCE,1Cnkp5NNOjA6_IeszHC5jnZfIfbrCxCRI,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_014.mp4,SHEIN_FOR_FREE,SHEIN_PRODUCTS,FREE SHEIN PRODUCTS FOR YOU,PERSON,PV,014
1OhHpHhYdZsyczlxRdBvOhXcj_G50mbMN,7_88 US_SHEIN_EN_06-09  - PRODUTOS SHEIN (INGLES) .mp4,cb955b6c43d644009c5e9d08de4eeda1,UNIQUE_READY_SOURCE,1OhHpHhYdZsyczlxRdBvOhXcj_G50mbMN,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_015.mp4,SHEIN_FOR_FREE,SHEIN_PRODUCTS,FREE SHEIN PRODUCTS FOR YOU,PERSON,PV,015
1LC-ZabE8Qdv7gFaVLS4FEOrXNKoxzsl7,10_89 US_SHEIN_EN_06-09  - PRODUTOS SHEIN (INGLES) .mp4,ff6c2f80848705e88ed9c92a956f0dd5,UNIQUE_READY_SOURCE,1LC-ZabE8Qdv7gFaVLS4FEOrXNKoxzsl7,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_016.mp4,SHEIN_FOR_FREE,SHEIN_PRODUCTS,FREE SHEIN PRODUCTS FOR YOU,PERSON,PV,016
1mQxy4G73GKiU4tHpw8o8aRaXSjOOg509,11_87 US_SHEIN_EN_06-09  - PRODUTOS SHEIN (INGLES) .mp4,04dba61d1008246f804799ae4a611ded,UNIQUE_READY_SOURCE,1mQxy4G73GKiU4tHpw8o8aRaXSjOOg509,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_017.mp4,SHEIN_FOR_FREE,SHEIN_PRODUCTS,FREE SHEIN PRODUCTS FOR YOU,PERSON,PV,017
