template,ok,messages,mismatches_before,first_bad_slots,post_status,backup
Fincgriffin - GB-CC-EN/EN-SR - g001-d Icaro,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/fincgriffin---gb-cc-en-en-sr---g001-d-icaro-before-link-slot-fix-20260702-022130.json
Fincgriffin - GB-CC-EN/EN-SR - g003-d Isliago,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/fincgriffin---gb-cc-en-en-sr---g003-d-isliago-before-link-slot-fix-20260702-022130.json
Fincgriffin - GB-CC-EN/EN-SR - g004-d Joe,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/fincgriffin---gb-cc-en-en-sr---g004-d-joe-before-link-slot-fix-20260702-022130.json
Fincgriffin - GB-CC-EN/EN-SR - g005-d Kelly,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/fincgriffin---gb-cc-en-en-sr---g005-d-kelly-before-link-slot-fix-20260702-022130.json
Portal - US-CC-ES/ES-ZW - AV - g001-d Icaro,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/portal---us-cc-es-es-zw---av---g001-d-icaro-before-link-slot-fix-20260702-022130.json
Xyvlov - US-CC-ES/ES-ZW-SR - g003-d Isliago,True,30,22,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",201,/root/mgs-agent/backups/sb-templates/xyvlov---us-cc-es-es-zw-sr---g003-d-isliago-before-link-slot-fix-20260702-022130.json
Infinitynexx - US-CC-ES/ES-ZW-SR - g004-d Joe,True,30,29,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",201,/root/mgs-agent/backups/sb-templates/infinitynexx---us-cc-es-es-zw-sr---g004-d-joe-before-link-slot-fix-20260702-022130.json
Helixenit - US-CC-ES/ES-ZW-SR - g005-d Kelly,True,30,23,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",201,/root/mgs-agent/backups/sb-templates/helixenit---us-cc-es-es-zw-sr---g005-d-kelly-before-link-slot-fix-20260702-022130.json
Vizioid - US-CC-ES/ES-ZW-SR - g002-d Gustavo,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/vizioid---us-cc-es-es-zw-sr---g002-d-gustavo-before-link-slot-fix-20260702-022130.json
Financetopfeed - US-CC-ES/ES-ZW-SR - g004-d Joe,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/financetopfeed---us-cc-es-es-zw-sr---g004-d-joe-before-link-slot-fix-20260702-022130.json
Ducapes - US-CC-ES/ES-ZW-SR - g001-d Icaro,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/ducapes---us-cc-es-es-zw-sr---g001-d-icaro-before-link-slot-fix-20260702-022130.json
Lyzmo Finanzas - US-CC-ES/ES-ZW-SR - g006-d Nicolas,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/lyzmo-finanzas---us-cc-es-es-zw-sr---g006-d-nicolas-before-link-slot-fix-20260702-022130.json
Newsoun - US-CC-ES/ES-ZW-SR - g005-d Kelly,True,30,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/newsoun---us-cc-es-es-zw-sr---g005-d-kelly-before-link-slot-fix-20260702-022130.json
Marevelx - US-CC-ES/ES-ZW-SR - g001-d Icaro,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/marevelx---us-cc-es-es-zw-sr---g001-d-icaro-before-link-slot-fix-20260702-022130.json
Financeadx - US-CC-ES/ES-ZW-SR - g006-d Nicolas,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/financeadx---us-cc-es-es-zw-sr---g006-d-nicolas-before-link-slot-fix-20260702-022130.json
Fincgriffin - ES-CC-ES/ES-ZW-SR - g006-d Nicolas,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/fincgriffin---es-cc-es-es-zw-sr---g006-d-nicolas-before-link-slot-fix-20260702-022130.json
Fincgriffin - ES-CC-ES/ES-ZW-SR - g001-d Icaro,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/fincgriffin---es-cc-es-es-zw-sr---g001-d-icaro-before-link-slot-fix-20260702-022130.json
Fincgriffin - ES-CC-ES/ES-ZW-SR - g003-d Isliago,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/fincgriffin---es-cc-es-es-zw-sr---g003-d-isliago-before-link-slot-fix-20260702-022130.json
Fincgriffin - ES-CC-ES/ES-ZW-SR - g004-d Joe,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/fincgriffin---es-cc-es-es-zw-sr---g004-d-joe-before-link-slot-fix-20260702-022130.json
Fincgriffin - ES-CC-ES/ES-ZW-SR - g005-d Kelly,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/fincgriffin---es-cc-es-es-zw-sr---g005-d-kelly-before-link-slot-fix-20260702-022130.json
ZytivaFinanzas - ES-CC-ES/ES-ZW-SR - g003-d Isliago,True,30,30,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",201,/root/mgs-agent/backups/sb-templates/zytivafinanzas---es-cc-es-es-zw-sr---g003-d-isliago-before-link-slot-fix-20260702-022130.json
