COMPANY,DOMAIN,LANGUAGE,NAME,MESSAGES,LEADS,PAGES,APPROVAL,COUNTRY,VERTICAL,LANGUAGE_PARSED,COMBO,PATTERN_FOUND,APPROVED_MSGS,REJECTED_MSGS,INVALID_FORMAT_MSGS,ERROR_MSGS
digital-trust,infinitynexx,ES,Infinitynexx - MX-CC-ES/ES-ZW-SR - g004-d Joe,60,17527,8,,MX,CC,ES,MX-CC-ES,MX-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,helixenit,ES,Helixenit - MX-CC-ES/ES-ZW-SR - g005-d Kelly,60,24263,5,,MX,CC,ES,MX-CC-ES,MX-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,vizioid,ES,Vizioid - MX-CC-ES/ES-ZW-SR - g002-d Gustavo,60,,,,MX,CC,ES,MX-CC-ES,MX-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust-2,wantabrandfinance,EN,Wantabrand - GB-CC-EN/EN - M2 - g001-d Icaro,70,1156,1,,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN,0,0,0,0
digital-trust,fincgriffin,ES,Fincgriffin - ES-CC-ES/ES-ZW-SR - g006-d Nicolas,70,,,,ES,CC,ES,ES-CC-ES,ES-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,fincgriffin,EN,Fincgriffin - GB-CC-EN/EN-SR - g006-d Nicolas,70,,,,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN-SR,0,0,0,0
digital-trust,fincgriffin,TR,Fincgriffin - TR-CC-TR/TR-SR -  g006-d Nicolas,69,,,,TR,CC,TR,TR-CC-TR,TR-CC-TR/TR-SR,0,0,0,0
digital-trust,newsoun,EN,Newsoun - GB-CC-EN/EN-SR - g005-d Kelly,70,772,1,A:2 R:0 I:0 E:0,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN-SR,2,0,0,0
digital-trust,topfeed,EN,Financetopfeed - GB-CC-EN/EN-SR - g004-d Joe,70,486,1,A:12 R:12 I:0 E:0,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN-SR,12,12,0,0
digital-trust,lyzmo,EN,Lyzmo - GB-CC-EN/EN-SR - g006-d Nicolas,70,163,2,A:0 R:22 I:0 E:0,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN-SR,0,22,0,0
digital-trust,eggbev,EN,Eggbev - GB-CC-EN/EN-SR - g006-d Nicolas,70,,,,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN-SR,0,0,0,0
digital-trust,fincgriffin,ES,Fincgriffin - ES-CC-ES/ES-ZW-SR - g001-d Icaro,70,,,,ES,CC,ES,ES-CC-ES,ES-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,fincgriffin,EN,Fincgriffin - GB-CC-EN/EN-SR - g001-d Icaro,70,,,,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN-SR,0,0,0,0
digital-trust,fincgriffin,TR,Fincgriffin - TR-CC-TR/TR-SR - g001-d Icaro,69,,,,TR,CC,TR,TR-CC-TR,TR-CC-TR/TR-SR,0,0,0,0
digital-trust,fincgriffin,ES,Fincgriffin - ES-CC-ES/ES-ZW-SR - g003-d Isliago,70,,,,ES,CC,ES,ES-CC-ES,ES-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,fincgriffin,EN,Fincgriffin - GB-CC-EN/EN-SR - g003-d Isliago,70,,,,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN-SR,0,0,0,0
digital-trust,fincgriffin,TR,Fincgriffin - TR-CC-TR/TR-SR - g003-d Isliago,69,,,,TR,CC,TR,TR-CC-TR,TR-CC-TR/TR-SR,0,0,0,0
digital-trust,fincgriffin,ES,Fincgriffin - ES-CC-ES/ES-ZW-SR - g004-d Joe,70,,,,ES,CC,ES,ES-CC-ES,ES-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,fincgriffin,EN,Fincgriffin - GB-CC-EN/EN-SR - g004-d Joe,70,,,,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN-SR,0,0,0,0
digital-trust,fincgriffin,TR,Fincgriffin - TR-CC-TR/TR-SR - g004-d Joe,69,,,,TR,CC,TR,TR-CC-TR,TR-CC-TR/TR-SR,0,0,0,0
digital-trust,fincgriffin,ES,Fincgriffin - ES-CC-ES/ES-ZW-SR - g005-d Kelly,70,,,,ES,CC,ES,ES-CC-ES,ES-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust,fincgriffin,EN,Fincgriffin - GB-CC-EN/EN-SR - g005-d Kelly,70,,,,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN-SR,0,0,0,0
digital-trust,fincgriffin,TR,Fincgriffin - TR-CC-TR/TR-SR - g005-d Kelly,69,,,,TR,CC,TR,TR-CC-TR,TR-CC-TR/TR-SR,0,0,0,0
digital-trust-2,cliquet,EN,Cliquet - GB-CC-EN/EN - AV - G002-d Gustavo,70,,,,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN,0,0,0,0
digital-trust,zytivafinanzas,ES,ZytivaFinanzas - ES-CC-ES/ES-ZW-SR - g003-d Isliago,70,,,,ES,CC,ES,ES-CC-ES,ES-CC-ES/ES-ZW-SR,0,0,0,0
digital-trust-2,zuout,EN,Zuout - GB-CC-EN/EN - AV - g002-d Gustavo,70,,,,GB,CC,EN,GB-CC-EN,GB-CC-EN/EN,0,0,0,0
digital-trust-2,openzedfinanzas,ES,Openzed - ES-CC-ES/ES-ZW - AV - g003-d Isliago,70,13164,13,,ES,CC,ES,ES-CC-ES,ES-CC-ES/ES-ZW,0,0,0,0
digital-trust,fincgriffin,EN,Fincgriffin - US-CAR-EN/EN - JBF - g001-d,30,965,1,A:0 R:7 I:0 E:5,US,CAR,EN,US-CAR-EN,US-CAR-EN/EN,0,7,0,5
digital-trust,fincgriffin,EN,Fincgriffin - US-CAR-EN/EN - JBF - g002-d,30,1178,1,A:0 R:7 I:0 E:5,US,CAR,EN,US-CAR-EN,US-CAR-EN/EN,0,7,0,5
digital-trust,fincgriffin,EN,Fincgriffin - US-CAR-EN/EN - JBF - g003-d,30,93,1,A:0 R:7 I:0 E:5,US,CAR,EN,US-CAR-EN,US-CAR-EN/EN,0,7,0,5
digital-trust,fincgriffin,EN,Fincgriffin - US-CAR-EN/EN - JBF - g004-d,30,554,1,A:0 R:7 I:0 E:5,US,CAR,EN,US-CAR-EN,US-CAR-EN/EN,0,7,0,5
digital-trust,fincgriffin,EN,Fincgriffin - US-CAR-EN/EN - JBF - g005-d,30,582,1,A:0 R:7 I:0 E:5,US,CAR,EN,US-CAR-EN,US-CAR-EN/EN,0,7,0,5
digital-trust,fincgriffin,EN,Fincgriffin - US-CAR-EN/EN - JBF - g006-d,30,1189,1,A:0 R:7 I:0 E:5,US,CAR,EN,US-CAR-EN,US-CAR-EN/EN,0,7,0,5
digital-trust,newsoun,EN,teste-1-us-en-cc-gpt-real-v2-200-total-utf8-bom,206,,,A:205 R:1 I:0 E:0,,,,,,205,1,0,0
digital-trust,zytiva,EN,teste-2-us-en-cc-gpt-real-v2-200-total-utf8-bom,201,,,A:187 R:14 I:0 E:0,,,,,,187,14,0,0
digital-trust,newsoun,EN,teste-3-gb-cc-en-test-201-approved-plus-rewritten-newsoun-links,201,,,A:182 R:5 I:0 E:2,,,,,,182,5,0,2
digital-trust,newsoun,EN,teste-3-1gb-cc-en-test-201-approved-plus-rewritten-newsoun-links,3,,,A:3 R:0 I:0 E:0,,,,,,3,0,0,0
digital-trust,newsoun,EN,teste-3-2gb-cc-en-test-201-approved-plus-rewritten-newsoun-links,8,,,A:3 R:0 I:0 E:0,,,,,,3,0,0,0
digital-trust,newsoun,ES,teste-4-us-cc-es-all-201-zero-width-2chars-approval,201,,,A:158 R:43 I:0 E:0,,,,,,158,43,0,0
digital-trust,openzedfinanzas,ES,teste-5-es-cc-es-all-201-zero-width-2chars-approval,201,,,A:131 R:34 I:0 E:0,,,,,,131,34,0,0
digital-trust,openzedfinanzas,ES,teste-6-es-cc-es-test5-sem-status-reapproval,36,,,A:19 R:5 I:0 E:0,,,,,,19,5,0,0
