NAME,PAGES_LIVE,MESSAGES_LIVE,BROADCAST_PAGES_FIELD,COMPANY,LANGUAGE
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,117,20,56,digital-trust,EN
Lyzmo Finanzas - US-CC-ES/ES-ZW-SR - g006-d Nicolas,12,20,9,digital-trust,ES
Marevelx - DE-CC-DE/DE-SR - g001-d Icaro,12,10,6,digital-trust,DE
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,16,20,,digital-trust,EN
Marevelx - US-CC-ES/ES-ZW-SR - g001-d Icaro,0,20,,digital-trust,ES
NAO USAR - Cliquet - BD-US-LOAN-EN/EN - AV,0,30,,digital-trust-2,EN
NAO USAR - Eggbev - MSGS US CAR LOAN EN - Active View,0,30,,digital-trust,EN
NAO USAR - Financetopfeed - MSGS US CAR LOAN EN,0,30,,digital-trust,EN
NAO USAR - Financetopfeed - MSGS USA CC EN/EN - SMART ROUTER postbackid,0,60,,digital-trust,EN
NAO USAR - Lyzmo - MSGS US CAR LOAN EN,0,30,,digital-trust,EN
NAO USAR - Newsoun - MSGS US CAR LOAN EN,0,30,,digital-trust,EN
NAO USAR - Newsoun - MSGS USA CC EN/EN - SMART ROUTER (postbackid),0,60,,digital-trust,EN
NAO USAR - Openzed - MSGS US CAR LOAN EN - Active View,0,30,,digital-trust-2,EN
NAO USAR - Openzed - US-CC-EN/EN - AV - g003-d Isliago 2 mensagens,0,10,,digital-trust-2,EN
Newsoun - DE-CC-DE/DE-SR - g005-d Kelly,51,10,19,digital-trust,DE
Newsoun - GB-CC-EN/EN-SR - g005-d Kelly,1,20,1,digital-trust,EN
Newsoun - US-CC-EN/EN-SR - g005-d Kelly,161,20,41,digital-trust,EN
Newsoun - US-CC-ES/ES-ZW-SR - g005-d Kelly,42,20,3,digital-trust,ES
Openzed - ES-CC-ES/ES-ZW - AV - g003-d Isliago,0,20,13,digital-trust-2,ES
Openzed - GB-CC-EN/EN - AV - g003-d Isliago,0,20,6,digital-trust-2,EN
Openzed - US-CC-EN/EN - AV - g001-d Icaro,12,20,8,digital-trust,EN
Openzed - US-CC-EN/EN - AV - g003-d Isliago,115,20,179,digital-trust-2,EN
Openzed - US-CC-ES/ES-ZW - AV - g001-d Icaro,0,20,,digital-trust,ES
Openzed - US-CC-ES/ES-ZW - AV - g003-d Isliago,41,20,88,digital-trust-2,ES
Portal - US-CC-EN/EN - AV - g001-d Icaro,0,10,,digital-trust,EN
Portal - US-CC-ES/ES-ZW - AV - g001-d Icaro,1,20,,digital-trust,ES
Spe - US-JOB-EN/EN - AV - g006-d Nicolas,1,10,,digital-trust,EN
Spe - US-JOB-ES/ES-ZW - AV - g006-d Nicolas,224,10,4,digital-trust,ES
teste-1-us-en-cc-gpt-real-v2-200-total-utf8-bom,0,206,,digital-trust,EN
teste-2-us-en-cc-gpt-real-v2-200-total-utf8-bom,0,201,,digital-trust,EN
teste-3-1gb-cc-en-test-201-approved-plus-rewritten-newsoun-links,0,3,,digital-trust,EN
teste-3-2gb-cc-en-test-201-approved-plus-rewritten-newsoun-links,0,8,,digital-trust,EN
teste-3-gb-cc-en-test-201-approved-plus-rewritten-newsoun-links,0,201,,digital-trust,EN
teste-4-us-cc-es-all-201-zero-width-2chars-approval,0,201,,digital-trust,ES
teste-5-es-cc-es-all-201-zero-width-2chars-approval,0,201,,digital-trust,ES
teste-6-es-cc-es-test5-sem-status-reapproval,0,36,,digital-trust,ES
Vizioid - MX-CC-ES/ES-ZW-SR - g002-d Gustavo,0,10,,digital-trust,ES
Vizioid - US-CC-EN/EN-SR - g002-d Gustavo,0,20,,digital-trust,EN
Vizioid - US-CC-ES/ES-ZW-SR - g002-d Gustavo,1,20,,digital-trust,ES
Wantabrand - ES-CC-ES/ES-ZW - M2 - g001-d Icaro,0,20,,digital-trust-2,ES
Wantabrand - GB-CC-EN/EN - M2 - g001-d Icaro,0,20,,digital-trust-2,EN
Wantabrand - US-CC-ES/ES-ZW - M2 - g001-d Icaro,0,20,,digital-trust-2,ES
Wavesbee - US-CC-EN/EN - YM - g003-d Isliago,0,20,,digital-trust-2,EN
Wavesbee - US-CC-ES/ES-ZW - YM - g003-d Isliago,0,20,,digital-trust-2,ES
Xyvlov - DE-CC-DE/DE-SR - g003-d Isliago,59,10,42,digital-trust,DE
Xyvlov - US-CC-EN/EN-SR - g003-d Isliago,0,20,,digital-trust,EN
Xyvlov - US-CC-ES/ES-ZW-SR - g003-d Isliago,2,20,1,digital-trust,ES
Zuout - GB-CC-EN/EN - AV - g002-d Gustavo,0,20,,digital-trust-2,EN
Zuout - US-CC-EN/EN - AV - g002-d Gustavo,2,20,8,digital-trust-2,EN
Zuout - US-CC-ES/ES-ZW - AV - g002-d Gustavo,0,20,32,digital-trust-2,ES
Zytiva - GB-CC-EN/EN-SR - g003-d Isliago,9,20,9,digital-trust,EN
Zytiva - US-CC-EN/EN-SR - g003-d Isliago,114,21,65,digital-trust,EN
ZytivaFinanzas - ES-CC-ES/ES-ZW-SR - g003-d Isliago,0,20,,digital-trust,ES
ZytivaFinanzas - US-CC-ES/ES-ZW-SR - g003-d Isliago,100,20,21,digital-trust,ES
