source_drive_id,source_filename,disposition,active_destination_drive_id,active_destination_filename,source_legacy_path,active_ready_path
1m-YpuYOQ8cHb2_H24tWM7Ca_cOhN2pW4,7_162 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1fbpYrEORMJsFIvOg0MsWlp2VeaKPPv0i,CAR_BR_BR_VID_SEM_ENTRADA_PV_032.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1OLypygOQ0VHfpHuOk-9yUrsaScRgsivr,7_181 - Story Financiamento (Brasil).mp4,UNIQUE_READY,18hrVNdYvad075O3z2UjldSr-TMQFFvJH,CAR_BR_BR_VID_SEM_ENTRADA_PV_033.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1N83Y3pNzPP6R96A905tuR8nhD7zR92gm,8_168 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1hm8-oaWL81BVC2pu424p-yde-Mt2s55u,CAR_BR_BR_VID_SCORE_BAIXO_PV_011.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
11x6QcMOsXWOk40_QWaCIVtEIIDwDaart,9_163 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1WKGgad2h75j5DkTaZMHqzUMIfkwQt4bD,CAR_BR_BR_VID_SEM_ENTRADA_PV_034.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1rNI9CdW_Ploa7KDSrvypWunXihxJZiig,10_165 - Story Financiamento (Brasil).mp4,UNIQUE_READY,111QNFEjYqMzXJNQsWsCA1A307ZFvT7L8,CAR_BR_BR_VID_SEM_ENTRADA_PV_035.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1CiIz_H5BOZF9Ww6oQSBHMJjhhc0p3Hft,11_164 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1kaiZbPcgvezHzVrULgR7jdi4WvziOUPH,CAR_BR_BR_VID_SEM_ENTRADA_PV_036.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1oFxFWo9fW0e7GfENXgR35_hxVz9gJ8Wd,12_175 - Story Financiamento (Brasil).mp4,DUPLICATE_SOURCE,1YRXzuMnXL_N_5gBoeJ2YD0KTgDBIQTt-,CAR_BR_BR_VID_SCORE_BAIXO_PV_005.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1Ev-Dcok0hlk7qg1W3rfcdPendtpiw2Fg,13_172 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1gk1WVpZV3qmO4o7x8geCWrU0FxjZZoPj,CAR_BR_BR_VID_SCORE_BAIXO_PV_013.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
12k3Aggw91cyBOGLyyr5L8BftrV9D2Xnt,14_167 - Story Financiamento (Brasil).mp4,UNIQUE_READY,192SuO3VW6BUSrGKRyWi1iJaaUH9hdiZR,CAR_BR_BR_VID_SCORE_BAIXO_PV_014.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
1Ndsw4cYKoRAs5lObDsdsf7R1K6QnsHiS,15_173 - Story Financiamento (Brasil).mp4,UNIQUE_READY,1Jzpn--tcIGUMSW6570-dakTsLSJSHjvr,CAR_BR_BR_VID_SCORE_BAIXO_PV_015.mp4,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/01_READY
