drive_id,original_filename,relative_path,source_top_folder,format,language_guess,placement_fit,product_type,canonical_filename
1-snq0GDTcJWVg069P7kw82TOiSfyPLpv,17_17 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_EARRING_NV_001.mp4,SHEIN_US_EN,VID,EN,STORY,EARRING,SHEIN_US_EN_VID_FREE_EARRING_NV_001.mp4
1R_LTGhikitihFJHQwZenxM4y6it7htF4,18_07 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_008.mp4,SHEIN_US_EN,VID,EN,STORY,CLOTHES_PRESSER,SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_008.mp4
1AEnx3m0FMF158dR8BIC-zu7p8mMLCiSD,19_22 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_006.mp4,SHEIN_US_EN,VID,EN,STORY,CLOTHING,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_006.mp4
1f96ib_pCure_3C-_9Lk__NmNEHmqF9jv,21_24 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_007.mp4,SHEIN_US_EN,VID,EN,STORY,CLOTHING,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_007.mp4
1-3eiDaSIqM0mS1JbtuPzjFFwbDUG4JUk,22_09 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_010.mp4,SHEIN_US_EN,VID,EN,STORY,CLOTHES_PRESSER,SHEIN_US_EN_VID_FREE_CLOTHES_PRESSER_PV_010.mp4
1FK4yTrRsG-ncKYOIli0t7VTDPthynMyT,23_26 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_008.mp4,SHEIN_US_EN,VID,EN,STORY,CLOTHING,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_008.mp4
1ci940FHx-mmhXFxLBELN0bgLGD7YJoFt,24_27 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_009.mp4,SHEIN_US_EN,VID,EN,STORY,CLOTHING,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_009.mp4
1TxlczDLmF_ZXWzc_4-DtpZ2pic981cC-,25_21 US_SHEIN_EN_04-09  - ROUPAS - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_010.mp4,SHEIN_US_EN,VID,EN,STORY,CLOTHING,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_010.mp4
1_vC4nvjF0ijRkiudr4Ln4vzfFH4OWe2H,2_14 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_HAIRBRUSH_PV_001.mp4,SHEIN_US_EN,VID,EN,STORY,HAIR_STYLER,SHEIN_US_EN_VID_FREE_HAIRBRUSH_PV_001.mp4
184qdAiRVHnWeNxdE1NoUdhvcsBZexL09,3_15 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_HAIRBRUSH_PV_002.mp4,SHEIN_US_EN,VID,EN,STORY,HAIR_STYLER,SHEIN_US_EN_VID_FREE_HAIRBRUSH_PV_002.mp4
1YAGdHWLEQqZyp_uWoT7P3RU89VB4S-eZ,1_16 US_SHEIN_EN_03-09  - CARREGADOR - Story (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_HAIRBRUSH_PV_003.mp4,SHEIN_US_EN,VID,EN,STORY,HAIR_STYLER,SHEIN_US_EN_VID_FREE_HAIRBRUSH_PV_003.mp4
11uXjhDot2DkBCIshVWnjDTPw3-rKRs1k,1_34 US_SHEIN_EN_04-09  - SUPORTE CELULAR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_001.mp4,SHEIN_US_EN,VID,EN,STORY,PHONE_HOLDER,SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_001.mp4
1Ywd423l-T4_IuYV7MpUmr2TDZc4aCbbg,1_59 US_SHEIN_EN_04-09  - DRONE (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_PV_001.mp4,SHEIN_US_EN,VID,EN,STORY,DRONE,SHEIN_US_EN_VID_FREE_DRONE_PV_001.mp4
1O1aoq0kxwH-LR_-IeivKXhIjImE4ZmbS,2_46 US_SHEIN_EN_04-09  - ROBO ASPIRADOR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_PV_001.mp4,SHEIN_US_EN,VID,EN,STORY,ROBOT_VACUUM,SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_PV_001.mp4
1b7xPRCysTTW4BBa2Niv3ZQ0Silj3oynY,2_63 US_SHEIN_EN_04-09  - DRONE (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_PV_002.mp4,SHEIN_US_EN,VID,EN,STORY,DRONE,SHEIN_US_EN_VID_FREE_DRONE_PV_002.mp4
1SZGI7hnp3z5UXk0dctkHRq6nP07HZsMe,3_55 US_SHEIN_EN_04-09  - DRONE (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_NV_001.mp4,SHEIN_US_EN,VID,EN,STORY,DRONE,SHEIN_US_EN_VID_FREE_DRONE_NV_001.mp4
1Bflbtx8JsJmRxUgPOjwFwie6Th94YYEX,3_60 US_SHEIN_EN_04-09  - DRONE (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_PV_003.mp4,SHEIN_US_EN,VID,EN,STORY,DRONE,SHEIN_US_EN_VID_FREE_DRONE_PV_003.mp4
1zCywo95qZjkSVr62ksYdZmRS73mSaXqT,4_41 US_SHEIN_EN_04-09  - SUPORTE CELULAR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_002.mp4,SHEIN_US_EN,VID,EN,STORY,PHONE_HOLDER,SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_002.mp4
1PH7lzgGfCDravxn_DxOhrNnaQ-QIowHx,4_56 US_SHEIN_EN_04-09  - DRONE (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_NV_002.mp4,SHEIN_US_EN,VID,EN,STORY,DRONE,SHEIN_US_EN_VID_FREE_DRONE_NV_002.mp4
1gVZHtB5hi4n4F59wwy2Agr4iuxNGWxur,5_48 US_SHEIN_EN_04-09  - ROBO ASPIRADOR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_NV_001.mp4,SHEIN_US_EN,VID,EN,STORY,ROBOT_VACUUM,SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_NV_001.mp4
1ejw8oXgHx6FCEks2fMCKR9k8_vYQSf2t,5_58 US_SHEIN_EN_04-09  - DRONE (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_PV_004.mp4,SHEIN_US_EN,VID,EN,STORY,DRONE,SHEIN_US_EN_VID_FREE_DRONE_PV_004.mp4
17P5ULLPs5YN79ysP6QmERmd6Xjh7oEnI,6_47 US_SHEIN_EN_04-09  - ROBO ASPIRADOR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_NV_002.mp4,SHEIN_US_EN,VID,EN,STORY,ROBOT_VACUUM,SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_NV_002.mp4
1OCMB1QbgK-H-JE-EpNWGK6M0AJQDVa4E,6_62 US_SHEIN_EN_04-09  - DRONE (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_PV_005.mp4,SHEIN_US_EN,VID,EN,STORY,DRONE,SHEIN_US_EN_VID_FREE_DRONE_PV_005.mp4
1v1OUgauWKAfZ7p28AcBrkQ5YnAZg1Ecx,7_33 US_SHEIN_EN_04-09  - SUPORTE CELULAR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_003.mp4,SHEIN_US_EN,VID,EN,STORY,PHONE_HOLDER,SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_003.mp4
1kT4JzUbM9rm0A4K3HE3CV4dOuJGBF9_p,7_57 US_SHEIN_EN_04-09  - DRONE (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_NV_003.mp4,SHEIN_US_EN,VID,EN,STORY,DRONE,SHEIN_US_EN_VID_FREE_DRONE_NV_003.mp4
1y1DYNZZcuNBQYFXmBRzvDqpvds51oUt5,8_38 US_SHEIN_EN_04-09  - SUPORTE CELULAR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_004.mp4,SHEIN_US_EN,VID,EN,STORY,PHONE_HOLDER,SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_004.mp4
1Jr6QJWgsqewDA2tJphk4n0iswgPcwook,8_61 US_SHEIN_EN_04-09  - DRONE (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_PV_006.mp4,SHEIN_US_EN,VID,EN,STORY,DRONE,SHEIN_US_EN_VID_FREE_DRONE_PV_006.mp4
1v7n_bCgWBhsKyXOuAjfHHXbmhxD9JR1t,9_50 US_SHEIN_EN_04-09  - CHAVEIRO CARREGADOR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_KEYCHAIN_CHARGER_PV_001.mp4,SHEIN_US_EN,VID,EN,STORY,KEYCHAIN_CHARGER,SHEIN_US_EN_VID_FREE_KEYCHAIN_CHARGER_PV_001.mp4
1n--N3CvpwH7DpFXqX3LCiN2AYuuaHBoD,10_45 US_SHEIN_EN_04-09  - ROBO ASPIRADOR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_PV_002.mp4,SHEIN_US_EN,VID,EN,STORY,ROBOT_VACUUM,SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_PV_002.mp4
1K7vJw7AWWRqjfv6FFDHHU9rwsjWNElPm,11_53 US_SHEIN_EN_04-09  - CHAVEIRO CARREGADOR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_KEYCHAIN_CHARGER_PV_002.mp4,SHEIN_US_EN,VID,EN,STORY,KEYCHAIN_CHARGER,SHEIN_US_EN_VID_FREE_KEYCHAIN_CHARGER_PV_002.mp4
1Bbb_a5JSSdMsuTJrEHud-O7UYP29oybY,13_51 US_SHEIN_EN_04-09  - CHAVEIRO CARREGADOR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_KEYCHAIN_CHARGER_PV_003.mp4,SHEIN_US_EN,VID,EN,STORY,KEYCHAIN_CHARGER,SHEIN_US_EN_VID_FREE_KEYCHAIN_CHARGER_PV_003.mp4
1ZDYFtXxo_xHN3LcT5sk1UryhlPomN2rn,15_54 US_SHEIN_EN_04-09  - DRONE (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_DRONE_NV_004.mp4,SHEIN_US_EN,VID,EN,STORY,DRONE,SHEIN_US_EN_VID_FREE_DRONE_NV_004.mp4
1G9HX1sNHT2pvnSRUMYYh_DQ-7WiKxVDL,17_43 US_SHEIN_EN_04-09  - ROBO ASPIRADOR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_NV_003.mp4,SHEIN_US_EN,VID,EN,STORY,ROBOT_VACUUM,SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_NV_003.mp4
1XDzKTf-ZVMR90mdLxkM9H1YdnNDvucJX,18_42 US_SHEIN_EN_04-09  - ROBO ASPIRADOR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_PV_003.mp4,SHEIN_US_EN,VID,EN,STORY,ROBOT_VACUUM,SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_PV_003.mp4
1CqyptvyPfrDqnFQuU1rE_6NlMfqbeYTq,19_49 US_SHEIN_EN_04-09  - CHAVEIRO CARREGADOR (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_KEYCHAIN_CHARGER_PV_004.mp4,SHEIN_US_EN,VID,EN,STORY,KEYCHAIN_CHARGER,SHEIN_US_EN_VID_FREE_KEYCHAIN_CHARGER_PV_004.mp4
116PBqEI_1mcYTeVMZljHTgJkW_sCw5_m,20_44 US_SHEIN_EN_04-09  - ROBO ASPIRADOR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_NV_004.mp4,SHEIN_US_EN,VID,EN,STORY,ROBOT_VACUUM,SHEIN_US_EN_VID_FREE_ROBOT_VACUUM_NV_004.mp4
13dQgrn4-H0lIsbxVZrAuixO_lgnFcUQR,21_37 US_SHEIN_EN_04-09  - SUPORTE CELULAR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_008.mp4,SHEIN_US_EN,VID,EN,STORY,PHONE_HOLDER,SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_008.mp4
1vxA1fGB9K-KVk7ot2FUb3LEnYtFwvbla,22_35 US_SHEIN_EN_04-09  - SUPORTE CELULAR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_009.mp4,SHEIN_US_EN,VID,EN,STORY,PHONE_HOLDER,SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_009.mp4
1oapy9P5EmatVKomFsA6SZTu1LWIPQhoq,23_39 US_SHEIN_EN_04-09  - SUPORTE CELULAR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_010.mp4,SHEIN_US_EN,VID,EN,STORY,PHONE_HOLDER,SHEIN_US_EN_VID_FREE_PHONE_HOLDER_PV_010.mp4
1vd13Go_oNwqYAfpO0WsFTdLI-n-YAoyI,24_52 US_SHEIN_EN_04-09  - CHAVEIRO CARREGADOR  (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_KEYCHAIN_CHARGER_PV_005.mp4,SHEIN_US_EN,VID,EN,STORY,KEYCHAIN_CHARGER,SHEIN_US_EN_VID_FREE_KEYCHAIN_CHARGER_PV_005.mp4
1ovygQ542FD8lBWjlA7wmgpNcflKbLtbO,3_84 US_SHEIN_EN_06-09  - CABANA (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_001.mp4,SHEIN_US_EN,VID,EN,STORY,CAMPING_TENT,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_001.mp4
1UtCdQqMUcSit-19SQ2PsZP-wo0sxnME4,4_81 US_SHEIN_EN_06-09  - CABANA (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_002.mp4,SHEIN_US_EN,VID,EN,STORY,CAMPING_TENT,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_002.mp4
1FD_Okm2rEsYOjQ7UJh70wRqrVOM8PUh1,5_85 US_SHEIN_EN_06-09  - CABANA (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_003.mp4,SHEIN_US_EN,VID,EN,STORY,CAMPING_TENT,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_003.mp4
1DhIBU8FBUUF2fjfW80zChMSFLf0hbjgO,8_86 US_SHEIN_EN_06-09  - CABANA (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_004.mp4,SHEIN_US_EN,VID,EN,STORY,CAMPING_TENT,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_004.mp4
1KyOVvQ9pjWJSoZjtcsUwyr0IGFS17d9d,9_83 US_SHEIN_EN_06-09  - CABANA (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_005.mp4,SHEIN_US_EN,VID,EN,STORY,CAMPING_TENT,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_005.mp4
1rbSFQPusx8ORMgf5ddROHz93Fkl-HPig,12_82 US_SHEIN_EN_06-09  - CABANA (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_006.mp4,SHEIN_US_EN,VID,EN,STORY,CAMPING_TENT,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_006.mp4
13FlYTyZYUhERE8su-u8uav2Eye5pVnDp,5_77 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_POWER_BANK_PV_001.mp4,SHEIN_US_EN,VID,EN,STORY,POWER_BANK,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_001.mp4
1SelGaNFwFGVDpVJP9Q9qRh5RByVd5lN6,7_76 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_POWER_BANK_PV_002.mp4,SHEIN_US_EN,VID,EN,STORY,POWER_BANK,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_002.mp4
165ttCV0XujRHOfjMIQaf3HnW1hoIhQrK,9_75 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_POWER_BANK_PV_003.mp4,SHEIN_US_EN,VID,EN,STORY,POWER_BANK,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_003.mp4
1J-rPOszypuvhbz2F1_PtEvD3Rus2RGNi,12_80 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_POWER_BANK_PV_004.mp4,SHEIN_US_EN,VID,EN,STORY,POWER_BANK,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_004.mp4
1MUJK924TvBKRl2UvyMLp0CQRiuyo9tah,13_79 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_POWER_BANK_PV_005.mp4,SHEIN_US_EN,VID,EN,STORY,POWER_BANK,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_005.mp4
1s54SkSXfA_tfc8eIXR_vVHFUTHwuF54G,14_78 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_POWER_BANK_PV_006.mp4,SHEIN_US_EN,VID,EN,STORY,POWER_BANK,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_006.mp4
1rjGqwMDJahaq0ZPvXgiApqJ7cB0CDNv2,1_68 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_TOOLBOX_PV_001.mp4,SHEIN_US_EN,VID,EN,STORY,TOOLBOX,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_001.mp4
1JudwK_4YVbboFWLSVPI4_29zJJFqLRd7,2_70 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,MGS-AGENTS/CRIATIVOS/SHEIN_US_EN/VID/01_READY/SHEIN_US_EN_VID_FREE_TOOLBOX_PV_002.mp4,SHEIN_US_EN,VID,EN,STORY,TOOLBOX,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_002.mp4
