group,template,pages,msgs,motivo
COM_PAGINA,Xyvlov - US-CC-ES/ES-ZW-SR - g003-d Isliago,1,20,gray=20
COM_PAGINA,Zuout - US-CC-EN/EN - AV - g002-d Gustavo,8,20,gray=20
COM_PAGINA,Zuout - US-CC-ES/ES-ZW - AV - g002-d Gustavo,32,20,gray=20
COM_PAGINA,Zytiva - GB-CC-EN/EN-SR - g003-d Isliago,9,20,gray=20
COM_PAGINA,Zytiva - US-CC-EN/EN-SR - g003-d Isliago,65,20,gray=20
COM_PAGINA,ZytivaFinanzas - US-CC-ES/ES-ZW-SR - g003-d Isliago,21,20,gray=20
SEM_PAGINA,Cliquet - GB-CC-EN/EN - AV - G002-d Gustavo,0,10,gray=10
SEM_PAGINA,Conecta - US-CC-EN/EN-SR - g001-d Icaro,0,10,gray=10
SEM_PAGINA,Ducapes - US-CC-ES/ES-ZW-SR - g001-d Icaro,0,10,gray=10
SEM_PAGINA,Eggbev - GB-CC-EN/EN-SR - g006-d Nicolas,0,10,gray=10
SEM_PAGINA,Financeadx - US-CC-EN/EN-SR - g006-d Nicolas,0,10,gray=10
SEM_PAGINA,Financeadx - US-CC-ES/ES-ZW-SR - g006-d Nicolas,0,10,gray=10
SEM_PAGINA,Fincgriffin - ES-CC-ES/ES-ZW-SR - g001-d Icaro,0,10,gray=10
SEM_PAGINA,Fincgriffin - ES-CC-ES/ES-ZW-SR - g003-d Isliago,0,10,gray=10
SEM_PAGINA,Fincgriffin - ES-CC-ES/ES-ZW-SR - g004-d Joe,0,10,gray=10
SEM_PAGINA,Fincgriffin - ES-CC-ES/ES-ZW-SR - g005-d Kelly,0,10,gray=10
SEM_PAGINA,Fincgriffin - ES-CC-ES/ES-ZW-SR - g006-d Nicolas,0,10,gray=10
SEM_PAGINA,Fincgriffin - GB-CC-EN/EN-SR - g001-d Icaro,0,10,gray=10
SEM_PAGINA,Fincgriffin - GB-CC-EN/EN-SR - g003-d Isliago,0,10,gray=10
SEM_PAGINA,Fincgriffin - GB-CC-EN/EN-SR - g004-d Joe,0,10,gray=10
SEM_PAGINA,Fincgriffin - GB-CC-EN/EN-SR - g005-d Kelly,0,10,gray=10
SEM_PAGINA,Fincgriffin - GB-CC-EN/EN-SR - g006-d Nicolas,0,10,gray=10
SEM_PAGINA,Fincgriffin - TR-CC-TR/TR-SR -  g006-d Nicolas,0,10,gray=10
SEM_PAGINA,Fincgriffin - TR-CC-TR/TR-SR - g001-d Icaro,0,10,gray=10
SEM_PAGINA,Fincgriffin - TR-CC-TR/TR-SR - g003-d Isliago,0,10,gray=10
SEM_PAGINA,Fincgriffin - TR-CC-TR/TR-SR - g004-d Joe,0,10,gray=10
SEM_PAGINA,Fincgriffin - TR-CC-TR/TR-SR - g005-d Kelly,0,10,gray=10
SEM_PAGINA,Helixenit - US-CC-EN/EN-SR - g005-d Kelly,0,10,gray=10
SEM_PAGINA,Helixenit - US-CC-ES/ES-ZW-SR - g005-d Kelly,0,10,gray=10
SEM_PAGINA,Infinitynexx - US-CC-EN/EN-SR - g004-d Joe,0,10,gray=10
SEM_PAGINA,Marevelx - US-CC-EN/EN-SR - g001-d Icaro,0,10,gray=10
SEM_PAGINA,Marevelx - US-CC-ES/ES-ZW-SR - g001-d Icaro,0,10,gray=10
SEM_PAGINA,Openzed - US-CC-ES/ES-ZW - AV - g001-d Icaro,0,10,gray=10
SEM_PAGINA,Portal - US-CC-EN/EN - AV - g001-d Icaro,0,10,gray=10
SEM_PAGINA,Portal - US-CC-ES/ES-ZW - AV - g001-d Icaro,0,10,gray=10
SEM_PAGINA,Spe - US-JOB-EN/EN - AV - g006-d Nicolas,0,10,gray=10
SEM_PAGINA,Vizioid - MX-CC-ES/ES-ZW-SR - g002-d Gustavo,0,10,gray=10
SEM_PAGINA,Vizioid - US-CC-EN/EN-SR - g002-d Gustavo,0,10,gray=10
SEM_PAGINA,Vizioid - US-CC-ES/ES-ZW-SR - g002-d Gustavo,0,10,gray=10
SEM_PAGINA,Wantabrand - ES-CC-ES/ES-ZW - M2 - g001-d Icaro,0,10,gray=10
SEM_PAGINA,Wantabrand - GB-CC-EN/EN - M2 - g001-d Icaro,0,10,gray=10
SEM_PAGINA,Wantabrand - US-CC-ES/ES-ZW - M2 - g001-d Icaro,0,10,gray=10
SEM_PAGINA,Wavesbee - US-CC-EN/EN - YM - g003-d Isliago,0,10,gray=10
SEM_PAGINA,Wavesbee - US-CC-ES/ES-ZW - YM - g003-d Isliago,0,10,gray=10
SEM_PAGINA,Xyvlov - US-CC-EN/EN-SR - g003-d Isliago,0,10,gray=10
SEM_PAGINA,Zuout - GB-CC-EN/EN - AV - g002-d Gustavo,0,10,gray=10
SEM_PAGINA,ZytivaFinanzas - ES-CC-ES/ES-ZW-SR - g003-d Isliago,0,10,gray=10
