template,messages,source_bank_count,mismatches,first_bad_slots
Fincgriffin - GB-CC-EN/EN-SR - g005-d Kelly,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Cliquet - GB-CC-EN/EN - AV - G002-d Gustavo,30,70,0,
Zuout - GB-CC-EN/EN - AV - g002-d Gustavo,30,70,0,
Cliquet Finanzas - US-CC-ES/ES-ZW - AV - g002-d Gustavo,30,70,0,
Zuout - US-CC-ES/ES-ZW - AV - g002-d Gustavo,30,70,0,
Portal - US-CC-ES/ES-ZW - AV - g001-d Icaro,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Xyvlov - US-CC-ES/ES-ZW-SR - g003-d Isliago,30,70,22,"9,10,11,12,13,14,15,16,17,18"
Infinitynexx - US-CC-ES/ES-ZW-SR - g004-d Joe,30,70,29,"2,3,4,5,6,7,8,9,10,11"
Helixenit - US-CC-ES/ES-ZW-SR - g005-d Kelly,30,70,23,"8,9,10,11,12,13,14,15,16,17"
Vizioid - US-CC-ES/ES-ZW-SR - g002-d Gustavo,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Financetopfeed - US-CC-ES/ES-ZW-SR - g004-d Joe,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Ducapes - US-CC-ES/ES-ZW-SR - g001-d Icaro,30,70,30,"1,2,3,4,5,6,7,8,9,10"
ZytivaFinanzas - US-CC-ES/ES-ZW-SR - g003-d Isliago,30,70,0,
Lyzmo Finanzas - US-CC-ES/ES-ZW-SR - g006-d Nicolas,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Eggbev Finanzas - US-CC-ES/ES-ZW - AV - g006-d Nicolas,30,70,0,
Newsoun - US-CC-ES/ES-ZW-SR - g005-d Kelly,30,70,28,"1,2,3,4,5,6,7,8,9,10"
Wantabrand - US-CC-ES/ES-ZW - M2 - g001-d Icaro,30,70,0,
Openzed - US-CC-ES/ES-ZW - AV - g003-d Isliago,30,70,0,
Wavesbee - US-CC-ES/ES-ZW - YM - g003-d Isliago,30,70,0,
Marevelx - US-CC-ES/ES-ZW-SR - g001-d Icaro,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Financeadx - US-CC-ES/ES-ZW-SR - g006-d Nicolas,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Openzed - US-CC-ES/ES-ZW - AV - g001-d Icaro,30,70,0,
Wantabrand - ES-CC-ES/ES-ZW - M2 - g001-d Icaro,30,70,0,
Fincgriffin - ES-CC-ES/ES-ZW-SR - g006-d Nicolas,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Fincgriffin - ES-CC-ES/ES-ZW-SR - g001-d Icaro,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Fincgriffin - ES-CC-ES/ES-ZW-SR - g003-d Isliago,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Fincgriffin - ES-CC-ES/ES-ZW-SR - g004-d Joe,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Fincgriffin - ES-CC-ES/ES-ZW-SR - g005-d Kelly,30,70,30,"1,2,3,4,5,6,7,8,9,10"
ZytivaFinanzas - ES-CC-ES/ES-ZW-SR - g003-d Isliago,30,70,30,"1,2,3,4,5,6,7,8,9,10"
Openzed - ES-CC-ES/ES-ZW - AV - g003-d Isliago,30,70,0,
Financeadx - AR-CC-ES/ES-ZW-SR - g006-d Nicolas,10,60,0,
Financeadx - CA-CC-EN/EN-SR - g006-d Nicolas,10,58,0,
Financeadx - MX-CC-ES/ES-ZW-SR - g006-d Nicolas,10,60,0,
Financeadx - ZA-CC-EN/EN-SR - g006-d Nicolas,10,69,0,
Fincgriffin - TR-CC-TR/TR-SR -  g006-d Nicolas,10,69,0,
Fincgriffin - TR-CC-TR/TR-SR - g001-d Icaro,10,69,0,
Fincgriffin - TR-CC-TR/TR-SR - g003-d Isliago,10,69,0,
Fincgriffin - TR-CC-TR/TR-SR - g004-d Joe,10,69,0,
Fincgriffin - TR-CC-TR/TR-SR - g005-d Kelly,10,69,0,
Fincgriffin - US-CAR-EN/EN - JBF - g001-d,10,30,0,
Fincgriffin - US-CAR-EN/EN - JBF - g002-d,10,30,0,
Fincgriffin - US-CAR-EN/EN - JBF - g003-d,10,30,0,
Fincgriffin - US-CAR-EN/EN - JBF - g004-d,10,30,0,
Fincgriffin - US-CAR-EN/EN - JBF - g005-d,10,30,0,
Fincgriffin - US-CAR-EN/EN - JBF - g006-d,10,30,0,
Helixenit - DE-CC-DE/DE-SR - g005-d Kelly,10,60,0,
Helixenit - MX-CC-ES/ES-ZW-SR - g005-d Kelly,10,60,0,
Infinitynexx - MX-CC-ES/ES-ZW-SR - g004-d Joe,10,60,0,
Marevelx - DE-CC-DE/DE-SR - g001-d Icaro,10,61,0,
Newsoun - DE-CC-DE/DE-SR - g005-d Kelly,10,60,0,
Portal - US-CC-EN/EN - AV - g001-d Icaro,10,69,0,
Spe - US-JOB-EN/EN - AV - g006-d Nicolas,10,60,0,
Spe - US-JOB-ES/ES-ZW - AV - g006-d Nicolas,10,60,0,
Vizioid - MX-CC-ES/ES-ZW-SR - g002-d Gustavo,10,60,0,
Xyvlov - DE-CC-DE/DE-SR - g003-d Isliago,10,60,0,
