source_drive_id,source_filename,status,source_path,destination_path,destination_drive_id,destination_filename
11cQ5ZcV9x6CcOiq2uhUIxTHgjEp63JMx,6_171 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,10gfWYAosx9Dq6vHUvL0lV_KY2fx56tT8,CAR_BR_BR_VID_SCORE_BAIXO_PV_010.mp4
1-9R2-G7MO7Gcn7eAh3td9NO0PgQZWCQ3,6_182 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,15ThulSrFWCrSlMC8PYhONxp_QjUhlBQn,CAR_BR_BR_VID_SEM_ENTRADA_PV_031.mp4
1m-YpuYOQ8cHb2_H24tWM7Ca_cOhN2pW4,7_162 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1fbpYrEORMJsFIvOg0MsWlp2VeaKPPv0i,CAR_BR_BR_VID_SEM_ENTRADA_PV_032.mp4
1OLypygOQ0VHfpHuOk-9yUrsaScRgsivr,7_181 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,18hrVNdYvad075O3z2UjldSr-TMQFFvJH,CAR_BR_BR_VID_SEM_ENTRADA_PV_033.mp4
1N83Y3pNzPP6R96A905tuR8nhD7zR92gm,8_168 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1hm8-oaWL81BVC2pu424p-yde-Mt2s55u,CAR_BR_BR_VID_SCORE_BAIXO_PV_011.mp4
11x6QcMOsXWOk40_QWaCIVtEIIDwDaart,9_163 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1WKGgad2h75j5DkTaZMHqzUMIfkwQt4bD,CAR_BR_BR_VID_SEM_ENTRADA_PV_034.mp4
1rNI9CdW_Ploa7KDSrvypWunXihxJZiig,10_165 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,111QNFEjYqMzXJNQsWsCA1A307ZFvT7L8,CAR_BR_BR_VID_SEM_ENTRADA_PV_035.mp4
1CiIz_H5BOZF9Ww6oQSBHMJjhhc0p3Hft,11_164 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1kaiZbPcgvezHzVrULgR7jdi4WvziOUPH,CAR_BR_BR_VID_SEM_ENTRADA_PV_036.mp4
1oFxFWo9fW0e7GfENXgR35_hxVz9gJ8Wd,12_175 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1i_xF5xs_AZz7eWnvv7KtbDxOOzayjeXd,CAR_BR_BR_VID_SCORE_BAIXO_PV_012.mp4
1Ev-Dcok0hlk7qg1W3rfcdPendtpiw2Fg,13_172 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1gk1WVpZV3qmO4o7x8geCWrU0FxjZZoPj,CAR_BR_BR_VID_SCORE_BAIXO_PV_013.mp4
12k3Aggw91cyBOGLyyr5L8BftrV9D2Xnt,14_167 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,192SuO3VW6BUSrGKRyWi1iJaaUH9hdiZR,CAR_BR_BR_VID_SCORE_BAIXO_PV_014.mp4
1Ndsw4cYKoRAs5lObDsdsf7R1K6QnsHiS,15_173 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1Jzpn--tcIGUMSW6570-dakTsLSJSHjvr,CAR_BR_BR_VID_SCORE_BAIXO_PV_015.mp4
